panel_id,lane_id,proposal_id,exact_identity,admission_rank,admission_type,selected_for_strict
main,static_cross_sectional,proposal:a940eca1577ccb661b8e535b,exact-signal:0f8fa13cd48a2e25a54d5b4d,0,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:aaff3e5928e2f79c17cfc314,exact-signal:d11347827d9a776cd960c678,1,STRATIFIED_ANTI_COLLAPSE,True
main,static_cross_sectional,proposal:0de72679394445ae45b7a781,exact-signal:cf17a689a4ea24a795072fc8,2,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:eb53f068bb1ab665c13b475f,exact-signal:8575675e77bb21735791b1db,3,STRATIFIED_ANTI_COLLAPSE,True
main,static_cross_sectional,proposal:480a3115cbbd066fb0030361,exact-signal:02a29a8dc83560090250a8fa,4,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:337697ca4c085e3c5e4c1fd4,exact-signal:0ef6cddb21a1a01da7ed8fd8,5,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:8de1ea42607eb3df45d90069,exact-signal:cbf3f7d7661d783270e2ce02,6,STRATIFIED_ANTI_COLLAPSE,True
main,static_cross_sectional,proposal:58bd865506e59f517cec2403,exact-signal:c0e8b1846a8a77a659d8efac,7,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:57c44bfb3218817250b3ad84,exact-signal:545742137c8dad48b4b5e913,8,STRATIFIED_ANTI_COLLAPSE,True
main,static_cross_sectional,proposal:0701073336ff6612e5c03c5a,exact-signal:064adb76966f03fbbd3dc13b,9,STRATIFIED_ANTI_COLLAPSE,True
main,static_cross_sectional,proposal:b0937e0a9542188d8a738278,exact-signal:9cb1a6b90226d92f0388e643,10,STRATIFIED_ANTI_COLLAPSE,True
main,static_cross_sectional,proposal:b820efa3d1acb8905a164eea,exact-signal:e17d2a44e1e5241637089e63,11,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:a2fa922bd10d1f966ca7284f,exact-signal:ccd299a903f0034b320f7e76,12,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:dc66fbaaf0d4a82b0766f84c,exact-signal:54b27a3d7b67db155d94a8f5,13,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:3efac10554d8d14efab61166,exact-signal:e3f1ff463906135c76204855,14,STRATIFIED_ANTI_COLLAPSE,True
main,static_cross_sectional,proposal:f942d7f5f3ce00044f62e4aa,exact-signal:6b1f7e2748bc3187b4ec9de2,15,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:166d1c8707460bfa4185a0a1,exact-signal:a504f4627c13da5bcfc9b853,16,STRATIFIED_ANTI_COLLAPSE,True
main,static_cross_sectional,proposal:71b74f08a1295433bc631a7a,exact-signal:80438157af36e181f7de26f6,17,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:3d3e2e5a5714f52846828590,exact-signal:5bace4d5291a2a3376192e27,18,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:925c6fb113df93051ce40b45,exact-signal:bc066e516694145d338b5985,19,STRATIFIED_ANTI_COLLAPSE,False
main,static_cross_sectional,proposal:659682ef46363c51767c2c2d,exact-signal:010d5ab5fa7512f2963c1a32,20,STRATIFIED_ANTI_COLLAPSE,False
