panel_id,exact_identity,activation_identity,behaviour_cluster,economic_hypothesis,proposal_id,lane_id
bbo_micro,exact-signal:00ced98e2a674fab8e671a6c,activation:2e9d685649d513033c67abca,behaviour-cluster:905b0fcb1c8298113ac77348,hypothesis:bbo_liquidity,proposal:988d6047e9c630502a92598b,bbo_temporal_event_micro
bbo_micro,exact-signal:0f72f84a8fc410b60cdc369f,activation:0e50150c99ee00b1ed5cf71e,behaviour-cluster:f67f4973b99d8f6f17f36322,hypothesis:bbo_imbalance,proposal:8286e073313d7743ecff8098,bbo_temporal_event_micro
bbo_micro,exact-signal:1078ec87b552a36a30421ce3,activation:e1726fd525369cc40af6b4ce,behaviour-cluster:c00770e3044c6e80926f8488,hypothesis:bbo_liquidity,proposal:5cd88aff7ed9c9fbd523e49e,bbo_temporal_event_micro
bbo_micro,exact-signal:177d744f2609e64f77e59b44,activation:2220138e0c68ed3d887a70e0,behaviour-cluster:a9d0650fe98d2e0c3806c070,hypothesis:bbo_liquidity,proposal:43078d19993feec59d4cf993,bbo_temporal_event_micro
bbo_micro,exact-signal:1cd705c5e63869db13dc842c,activation:b8fb3251e0bc7447f5f49141,behaviour-cluster:2913f9b194c2d1a9353a28da,hypothesis:bbo_liquidity,proposal:f63512f518513a3a5fd88c99,bbo_temporal_event_micro
bbo_micro,exact-signal:1d989953f835bc129ad4e243,activation:f28bf73f0da21c85656ccc0c,behaviour-cluster:989ab57de05c4eaf70be741e,hypothesis:bbo_imbalance,proposal:08778bf0bf89102a7a30fee1,bbo_temporal_event_micro
bbo_micro,exact-signal:1dad77d8fd6d8e2b78a5de50,activation:4bb0129a8dfae17d35da88e7,behaviour-cluster:a2a481a35359fe27f8c78c5d,hypothesis:bbo_quantity,proposal:7174593e29ad1ad3c3cd53bc,bbo_temporal_event_micro
bbo_micro,exact-signal:2731c46a2248011774e2528c,activation:78edabe36b9f2b9d85f0590e,behaviour-cluster:876e70dd100d2e328c5dde60,hypothesis:bbo_liquidity,proposal:b4aea03bdbdfccb81e8f2783,bbo_temporal_event_micro
bbo_micro,exact-signal:281f3fb10a6702cd55bee4b3,activation:41e9747fba218276508586a3,behaviour-cluster:bc72bb440d68229b0e295ecb,hypothesis:bbo_quantity,proposal:d13f1487febf1fa0ca1cf83a,bbo_temporal_event_micro
bbo_micro,exact-signal:2920fe8db13883c78de6ada8,activation:b98b13517ecffc5de73a7165,behaviour-cluster:6dcd1e3d24e3e7c22805efd4,hypothesis:bbo_quantity,proposal:dbbdb36d6706a767634de726,bbo_temporal_event_micro
bbo_micro,exact-signal:2b53d41773c6723a61a4cffd,activation:02fb3731cd5569e3998cee92,behaviour-cluster:0bfb105c96e17a4011c13c66,hypothesis:bbo_imbalance,proposal:9a709bdcfadf01bf8e97da76,bbo_temporal_event_micro
bbo_micro,exact-signal:2df348d5e9f493c2f49bdc7b,activation:ac7b32f503c351dc94680cae,behaviour-cluster:1f47a28426d776d1649498bd,hypothesis:bbo_liquidity,proposal:16f8393d52a067d90be80311,bbo_temporal_event_micro
bbo_micro,exact-signal:31d044253f0bd660ac67c5d4,activation:be9497e3d77a315dd122afce,behaviour-cluster:7c99a3c75a400c74ebe565a9,hypothesis:bbo_spread,proposal:6fd67362c55d9b27d5c603ed,bbo_temporal_event_micro
bbo_micro,exact-signal:3938968657ad76ded879e091,activation:c96c15f74f94c2e5fbd14c0b,behaviour-cluster:98c005bfc64e94f492b82771,hypothesis:bbo_spread,proposal:8fa7612abfea461b699ad70a,bbo_temporal_event_micro
bbo_micro,exact-signal:3bbd039052dd8c3079d8900e,activation:3e0be054612324cb32a43902,behaviour-cluster:e514a1f13c5fd4847bd07de5,hypothesis:bbo_liquidity,proposal:ce79bbc697ce83c89b5a448c,bbo_temporal_event_micro
bbo_micro,exact-signal:421300a4f3dc05b1ef5d4271,activation:a3d3f920bb9d4914bf40d5e0,behaviour-cluster:52e5cfc516e16d5dfdefd946,hypothesis:bbo_spread,proposal:947c8524ac92376d8aeddfb9,bbo_temporal_event_micro
bbo_micro,exact-signal:4cb66614b080f9ddcd27f233,activation:73522074202e956cb293edd7,behaviour-cluster:c44b3138cec46673d7b51f5a,hypothesis:bbo_spread,proposal:60bc9c3640130da3ce3d34c5,bbo_temporal_event_micro
bbo_micro,exact-signal:539845c3ebef9b603571efcd,activation:c6522ce676a6c24c0c398571,behaviour-cluster:ad0ed8d7c2a60f8f1a3fce85,hypothesis:bbo_liquidity,proposal:a8325a7130ea01a55c45d758,bbo_temporal_event_micro
bbo_micro,exact-signal:5720b241de00fb1d5c1d56ed,activation:e476092f37ce3a06bfea0561,behaviour-cluster:b2b81db47e001a51ff43f36d,hypothesis:bbo_quantity,proposal:bca3ef7cdf7b274d6735b5f8,bbo_temporal_event_micro
bbo_micro,exact-signal:5a3ae627dd1883631f666cbe,activation:30cda452159c491fd9f19448,behaviour-cluster:134e515a71cabc01c5e9fc69,hypothesis:bbo_imbalance,proposal:e0aea6197eb212f4e4da9ec0,bbo_temporal_event_micro
