feature_family_set,fields,field_families,historical_status
P0_price_return,ret_3;ret_6;ret_12;ret_24,price,supported_by_current_1h_panel_or_derived_contract
P1_range_volatility,hl_range;realized_vol_6;realized_vol_12;realized_vol_24;abs_ret_1,volatility,supported_by_current_1h_panel_or_derived_contract
P2_liquidity,quote_asset_volume;number_of_trades;quote_volume_mean_6;quote_volume_mean_12;quote_volume_mean_24,liquidity,supported_by_current_1h_panel_or_derived_contract
P3_trade_size,avg_trade_size_quote;number_of_trades;quote_asset_volume,liquidity,supported_by_current_1h_panel_or_derived_contract
P4_taker_flow,taker_buy_ratio;taker_imbalance;cs_z_taker_imbalance,flow,supported_by_current_1h_panel_or_derived_contract
P5_basis_premium,mark_index_ratio;mark_minus_index;premium_index;cs_z_mark_index_ratio;cs_z_premium_index,basis,supported_by_current_1h_panel_or_derived_contract
P6_funding_observable,latest_known_funding_rate;funding_rate_z_24;funding_rate_persistence_3,funding,supported_by_current_1h_panel_or_derived_contract
P7_cross_symbol_relative,cs_z_ret_6;cs_z_ret_12;cs_z_mark_index_ratio;cs_z_premium_index;cs_z_taker_imbalance,basis;flow;price,supported_by_current_1h_panel_or_derived_contract
P8_regime_state,realized_vol_24;quote_volume_mean_24;mark_index_ratio;latest_known_funding_rate;ret_24,basis;funding;liquidity;price;volatility,supported_by_current_1h_panel_or_derived_contract
P9_price_basis,ret_6;ret_12;mark_index_ratio;premium_index,basis;price,supported_by_current_1h_panel_or_derived_contract
P10_price_liquidity,ret_6;ret_12;quote_volume_mean_12;quote_volume_mean_24,liquidity;price,supported_by_current_1h_panel_or_derived_contract
P11_volatility_basis,realized_vol_12;realized_vol_24;mark_index_ratio;premium_index,basis;volatility,supported_by_current_1h_panel_or_derived_contract
P12_liquidity_flow,quote_volume_mean_12;quote_volume_mean_24;taker_imbalance;taker_buy_ratio,flow;liquidity,supported_by_current_1h_panel_or_derived_contract
P13_trade_size_volatility,avg_trade_size_quote;number_of_trades;realized_vol_12;realized_vol_24,liquidity;volatility,supported_by_current_1h_panel_or_derived_contract
P14_horizon_spread,ret_6;ret_12;ret_24;realized_vol_6;realized_vol_24,price;volatility,supported_by_current_1h_panel_or_derived_contract
P15_open_ast_diverse,mark_index_ratio;mark_minus_index;premium_index;spot_perp_basis;cs_z_mark_index_ratio;cs_z_premium_index;quote_asset_volume;number_of_trades;avg_trade_size_quote;quote_volume_mean_6;quote_volume_mean_12;quote_volume_mean_24;taker_buy_ratio;taker_imbalance;cs_z_taker_imbalance;realized_vol_6;realized_vol_12;realized_vol_24;hl_range;abs_ret_1;ret_3;ret_6;ret_12;ret_24;cs_z_ret_6;cs_z_ret_12;latest_known_funding_rate;funding_rate_z_24;funding_rate_persistence_3;cs_z_latest_known_funding_rate,basis;flow;funding;liquidity;price;volatility,supported_by_current_1h_panel_or_derived_contract
