objective_family,decision,count
Z0_funding_basis_premium_dislocation,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE,15
Z0_funding_basis_premium_dislocation,HOLD_A7AL2Z4_ONE_BAR_LAG_FRAGILE,1
Z1_price_range_volatility_structure,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE,14
Z1_price_range_volatility_structure,HOLD_A7AL2Z4_CONTROL_DOMINATED,2
Z2_liquidity_taker_microstructure_lite,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE,14
Z2_liquidity_taker_microstructure_lite,HOLD_A7AL2Z4_CONTROL_DOMINATED,2
Z3_basis_price_trend_reversal,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE,16
Z4_upper_regime_relative_value,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE,16
Z5_latent_listing_meme_neutral_structure,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE,12
Z5_latent_listing_meme_neutral_structure,HOLD_A7AL2Z4_CONTROL_DOMINATED,3
Z5_latent_listing_meme_neutral_structure,HOLD_A7AL2Z4_ONE_BAR_LAG_FRAGILE,1
Z6_cross_sectional_relative_flow_value,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE,16
Z7_market_regime_price_breadth,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE,13
Z7_market_regime_price_breadth,HOLD_A7AL2Z4_CONTROL_DOMINATED,2
Z7_market_regime_price_breadth,HOLD_A7AL2Z4_ONE_BAR_LAG_FRAGILE,1
