label,count,rate,policy_training_allowed
coverage_fail,0,0.0,True
activity_fail,52,0.015218,True
raw_validation_fail,2447,0.716125,True
raw_recent_fail,2635,0.771144,True
residual_funding_validation_fail,1333,0.390108,True
residual_funding_recent_fail,1353,0.395961,True
residual_core4_recent_fail,1361,0.398303,True
cost20_validation_fail,1934,0.565994,True
cost20_recent_fail,2754,0.80597,True
lag1_validation_fail,1649,0.482587,True
lag1_recent_fail,2576,0.753878,True
funding_beta_fail,9,0.002634,True
core4_beta_fail,40,0.011706,True
may_raw_severe_fail_stress_only,1760,0.515072,False
may_residual_funding_negative_stress_only,1459,0.426983,False
near_miss_label,125,0.036582,True
research_candidate_label,1,0.000293,True
clue_label,204,0.059701,True
placebo_like,822,0.240562,True
