symbol,expected_silver_months,silver_months,silver_rows,silver_density_ratio_vs_30d_5m_proxy,silver_first_month,silver_last_month,timestamp_min,timestamp_max,missing_silver_months,raw_zip_files,raw_checksum_files,read_error_count,feature_density_warning,sparse_month_count,sparse_months,ready,note
1000BONKUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
1000FLOKIUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
1INCHUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
AAVEUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
ACEUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
ACHUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
ALGOUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
APEUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
API3USDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:01+00:00,,872,0,0,False,0,,True,complete
APTUSDT,29,29,250988,1.001708,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
ARBUSDT,29,29,250997,1.001744,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
ARUSDT,29,29,250997,1.001744,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
ATOMUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
AXSUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
BANDUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
BATUSDT,29,29,251005,1.001776,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
BLURUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
BOMEUSDT,27,27,229381,0.983286,2024-03,2026-05,2024-03-16 12:35:00+00:00,2026-05-22 00:00:00+00:00,,797,0,0,False,0,,True,listing_gap_2024_01_02
CELOUSDT,29,29,250993,1.001728,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
CHZUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
DASHUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
ETCUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
GMXUSDT,29,29,251005,1.001776,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
HBARUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
KNCUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
LRCUSDT,29,29,234197,0.934694,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-21 02:35:08+00:00,,872,0,0,True,3,"2026-03:6741/8928,2026-04:41/8640,2026-05:25/6048",True,vendor_sparse_5m_warning
MAGICUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
MANAUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
MASKUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
NEARUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
PENDLEUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
SEIUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
UNIUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
WLDUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
YFIUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
ZECUSDT,29,29,251006,1.00178,2024-01,2026-05,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,,872,0,0,False,0,,True,complete
