symbol,expected_rows,manifest_rows,checksum_ok_rows,listing_gap_rows,failure_rows,missing_manifest_rows,ready,note
1000BONKUSDT,112,112,112,0,0,0,True,complete
1000FLOKIUSDT,112,112,112,0,0,0,True,complete
1INCHUSDT,112,112,112,0,0,0,True,complete
AAVEUSDT,112,112,112,0,0,0,True,complete
ACEUSDT,112,112,112,0,0,0,True,complete
ACHUSDT,112,112,112,0,0,0,True,complete
ALGOUSDT,112,112,112,0,0,0,True,complete
APEUSDT,112,112,112,0,0,0,True,complete
API3USDT,112,112,112,0,0,0,True,complete
APTUSDT,112,112,112,0,0,0,True,complete
ARBUSDT,112,112,112,0,0,0,True,complete
ARUSDT,112,112,112,0,0,0,True,complete
ATOMUSDT,112,112,112,0,0,0,True,complete
AXSUSDT,112,112,112,0,0,0,True,complete
BANDUSDT,112,112,112,0,0,0,True,complete
BATUSDT,112,112,112,0,0,0,True,complete
BLURUSDT,112,112,112,0,0,0,True,complete
BOMEUSDT,112,112,104,8,0,0,True,listing_gap_only
CELOUSDT,112,112,112,0,0,0,True,complete
CHZUSDT,112,112,112,0,0,0,True,complete
DASHUSDT,112,112,112,0,0,0,True,complete
ETCUSDT,112,112,112,0,0,0,True,complete
GMXUSDT,112,112,112,0,0,0,True,complete
HBARUSDT,112,112,112,0,0,0,True,complete
KNCUSDT,112,112,112,0,0,0,True,complete
LRCUSDT,112,112,112,0,0,0,True,complete
MAGICUSDT,112,112,112,0,0,0,True,complete
MANAUSDT,112,112,112,0,0,0,True,complete
MASKUSDT,112,112,112,0,0,0,True,complete
NEARUSDT,112,112,112,0,0,0,True,complete
PENDLEUSDT,112,112,112,0,0,0,True,complete
SEIUSDT,112,112,112,0,0,0,True,complete
UNIUSDT,112,112,112,0,0,0,True,complete
WLDUSDT,112,112,112,0,0,0,True,complete
YFIUSDT,112,112,112,0,0,0,True,complete
ZECUSDT,112,112,112,0,0,0,True,complete
