hypothesis_family,deep_count,post_may_eligible_count,may_vetoed_count,pre_may_near_miss_count,rejected_count,avg_rank_score,avg_raw_may,avg_residual_funding_may,avg_raw_recent,avg_cost20_recent,avg_lag1_recent,avg_min_fold,avg_positive_fold_rate,post_may_eligible_rate,summary_name
H12_horizon_ensemble_stability,15,3,12,0,0,0.5228317097376601,-5.039041181037459,-3.21608418788751,1.5793984832336767,1.3374855141749251,1.570662186787215,-0.426378014003788,0.955897435897436,0.2,hypothesis
H06_liquidity_structure_ex_realized_vol_mul,24,2,19,1,2,1.226042272536868,-9.19842104073382,-6.14983457605237,3.295198756387112,3.0540076514700902,3.283087144189984,0.25544388206269825,0.976923076923077,0.08333333333333333,hypothesis
H14_open_ast_cem_diversity,9,2,5,0,2,0.3124065652623458,1.231408154485325,1.4767900621345003,1.7912966060667235,1.6979399206187369,1.8086279433275076,-0.5171692543570467,0.8324786324786326,0.2222222222222222,hypothesis
H05_volatility_structure_ex_liquidity_mul,30,1,27,2,0,1.5246100581623898,-6.354215908647807,-5.016459181314163,3.0659941919629268,2.8419261429234126,3.056249993001368,0.5682350127435346,0.9625641025641026,0.03333333333333333,hypothesis
H02_cross_symbol_dispersion_reversal,21,1,20,0,0,1.739384458585105,-8.53067919437238,-5.93523328689614,3.3658688839678668,3.230757866475971,3.3485611803703326,0.768120545418255,0.9750915750915752,0.047619047619047616,hypothesis
H07_taker_flow_lag_stable,21,1,19,1,0,1.357881039111807,-9.82187254279278,-7.227710927857855,3.9087379359583965,3.785530137456313,3.859470891674904,0.40361434238723654,0.9575091575091574,0.047619047619047616,hypothesis
H00_low_turnover_robust,12,1,10,1,0,1.2979834271354733,-5.721513776797803,-1.8836018356196795,2.8801021412871255,2.789421004244611,2.8839641143279233,0.3824958201260225,0.9179487179487179,0.08333333333333333,hypothesis
H01_cross_symbol_relative_strength,9,1,7,1,0,0.9240342999229187,-9.063158667018067,-6.675030978253655,4.23746891035676,4.114841888454211,4.205441749622017,0.006020563683360581,0.9213675213675214,0.1111111111111111,hypothesis
H13_symbol_tier_relative,6,1,5,0,0,1.0827224864687202,-0.7067859619419408,1.7593984736713904,2.320793380704975,2.1648709728197226,2.3006276080872254,0.1254354406413703,0.9615384615384617,0.16666666666666666,hypothesis
H10_range_breakout_failure,15,0,15,0,0,1.4381308381069096,-8.730302512640055,-5.491074904690416,2.485976631718168,2.3522797351329023,2.4625015304772186,0.4665766487268494,0.9753846153846155,0.0,hypothesis
H08_trade_size_microstructure_lite,12,0,11,0,1,1.4438107689071782,-5.839190624836314,-5.034925395802586,1.9663881756120105,1.7809542400384182,1.9526248184867565,0.5107459173799205,0.9384615384615386,0.0,hypothesis
H11_regime_conditional_non_may,12,0,10,1,1,0.9774286705030741,0.0,0.0,1.495133259084696,1.3916938397280545,1.5043116847774585,0.17393619837255567,0.8064102564102563,0.0,hypothesis
H03_basis_premium_residual,6,0,6,0,0,2.732909903801705,-13.887207754401066,-8.8315434955688,3.971814795037376,3.8565545332007964,3.990328976458855,1.7357861588023074,1.0,0.0,hypothesis
