candidate_decision,reason,count
A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_severe_fail,116
A7O_PILOT_MAY_VETOED_NEAR_MISS,may_residual_funding_negative,103
A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_no_raw_activity,48
A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_no_residual_activity,48
A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_raw_active_hours_below_min,48
A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_residual_active_hours_below_min,48
A7O_PILOT_RESEARCH_CANDIDATE,none,13
A7O_PILOT_REJECTED,cost20_recent_nonpositive,6
A7O_PILOT_REJECTED,raw_recent_nonpositive,6
A7O_PILOT_REJECTED,lag1_recent_nonpositive,4
A7O_PILOT_REJECTED,may_stress_no_raw_activity,4
A7O_PILOT_REJECTED,may_stress_no_residual_activity,4
A7O_PILOT_REJECTED,may_stress_raw_active_hours_below_min,4
A7O_PILOT_REJECTED,may_stress_residual_active_hours_below_min,4
A7O_PILOT_REJECTED,residual_funding_recent_nonpositive,4
A7O_PILOT_PRE_MAY_NEAR_MISS,cost20_recent_nonpositive,3
A7O_PILOT_PRE_MAY_NEAR_MISS,may_residual_funding_negative,3
A7O_PILOT_PRE_MAY_NEAR_MISS,may_stress_severe_fail,3
A7O_PILOT_PRE_MAY_NEAR_MISS,raw_validation_nonpositive,3
A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_material_fail,2
A7O_PILOT_REJECTED,may_stress_severe_fail,2
A7O_PILOT_PRE_MAY_NEAR_MISS,may_stress_no_raw_activity,1
A7O_PILOT_PRE_MAY_NEAR_MISS,may_stress_no_residual_activity,1
A7O_PILOT_PRE_MAY_NEAR_MISS,may_stress_raw_active_hours_below_min,1
A7O_PILOT_PRE_MAY_NEAR_MISS,may_stress_residual_active_hours_below_min,1
A7O_PILOT_PRE_MAY_NEAR_MISS,residual_funding_recent_nonpositive,1
A7O_PILOT_REJECTED,may_residual_funding_negative,1
A7O_PILOT_REJECTED,raw_validation_nonpositive,1
