field_family,label_family,rows,strict_primitive_count,relaxed_primitive_count,atlas_candidate_count,median_control_ratio
basis_premium,L0_raw_forward_return,45,1,7,1,6.682600005001486
basis_premium,L1_cross_sectional_relative_return,45,1,7,1,6.682600005001485
basis_premium,L7_ranked_future_return,45,1,10,0,2.2881694145818257
price_return,L7_ranked_future_return,18,4,4,0,6.212879638689556
volatility,L7_ranked_future_return,18,4,4,0,1.4016943520372565
taker_flow,L7_ranked_future_return,18,0,3,0,2.742486671518934
price_return,L0_raw_forward_return,18,0,2,0,40.10238075258511
price_return,L1_cross_sectional_relative_return,18,0,2,0,40.1023807525851
funding,L0_raw_forward_return,27,0,0,0,12.366175357885076
funding,L1_cross_sectional_relative_return,27,0,0,0,12.366175357885048
funding,L7_ranked_future_return,27,0,0,0,1.0747311466292049
liquidity,L0_raw_forward_return,27,0,0,0,12.696424218006424
liquidity,L1_cross_sectional_relative_return,27,0,0,0,12.69642421800642
liquidity,L7_ranked_future_return,27,0,0,0,4.74643773735534
open_interest,L0_raw_forward_return,27,0,0,0,19.64933716467706
open_interest,L1_cross_sectional_relative_return,27,0,0,0,19.649337164677064
open_interest,L7_ranked_future_return,27,0,0,0,8.13719873053861
open_interest_interaction,L0_raw_forward_return,9,0,0,0,17.227715752846596
open_interest_interaction,L1_cross_sectional_relative_return,9,0,0,0,17.227715752846578
open_interest_interaction,L7_ranked_future_return,9,0,0,0,3.527615450889502
positioning,L0_raw_forward_return,27,0,0,0,8.818075025514322
positioning,L1_cross_sectional_relative_return,27,0,0,0,8.818075025514341
positioning,L7_ranked_future_return,27,0,0,0,4.293076777370881
taker_flow,L0_raw_forward_return,18,0,0,0,12.045394985277335
taker_flow,L1_cross_sectional_relative_return,18,0,0,0,12.045394985277309
volatility,L0_raw_forward_return,18,0,0,0,14.36338412169992
volatility,L1_cross_sectional_relative_return,18,0,0,0,14.363384121699934
