field_name,non_null_rate,nan_count,inf_count,min,max
funding_rate_mean_168h,0.5828537307651477,2774147,0,-0.01309208125,0.0022597742857142855
funding_rate_abs_168h,0.5828537307651477,2774147,0,1.238011904761905e-05,0.013098624583333334
age_x_funding_abs,0.5828537307651477,2774147,0,3.612044528698323e-05,0.04940559388723977
volume_volatility_ratio_168h,0.9958281568735717,27744,0,0.0,932529.9646159906
open_interest_change_24h,0.9963532461252113,24252,0,-1.3488840327432605,3.5659480518916045
oi_x_price_move_24h,0.9963532461252113,24252,0,-7.743003295460117,2.50438754711293
age_x_volatility,0.9964055746073334,23904,0,0.0,1.4024408038162004
realized_vol_168h,0.9964055746073334,23904,0,0.0,0.40969572462514414
basis_abs_168h,0.9965588008236623,22885,0,0.18834799881980077,597.1223935181379
premium_abs_168h,0.9976599544862501,15562,0,0.0,601.1509678571429
realized_vol_72h,0.9982027873036667,11952,0,0.0,0.6223920681097013
trade_return_24h,0.9982027873036667,11952,0,-3.349215601202242,2.034817947917146
rolling_coverage_168h,0.998277671166014,11454,0,0.0,1.0
log_quote_volume_168h,0.998277671166014,11454,0,0.0,20.913332368650448
gap_hours_recent_168h,0.998277671166014,11454,0,0.0,17.0
median_quote_volume_168h,0.998277671166014,11454,0,0.0,1209330052.77
liquidity_rank_active_universe,0.998277671166014,11454,0,0.002008032128514056,1.0
trade_count_168h,0.998277671166014,11454,0,0.0,2262225.9583333335
age_x_liquidity,0.998277671166014,11454,0,0.0013716199415553325,6.747537621095109
realized_vol_24h,0.9991013936518334,5976,0,0.0,1.0631867549325804
age_percentile_active_universe,1.0,0,0,0.002008032128514056,0.8242971887550201
sqrt_listing_age_days,1.0,0,0,0.0,29.171190125418835
log1p_listing_age_days,1.0,0,0,0.0,6.747537621095109
listing_age_days,1.0,0,0,0.0,850.9583333333334
