candidate_id,label_family,horizon_h,split,original_abs_spread,strongest_control_variant,strongest_control_abs_spread,control_ratio,control_hard_hold_ge_1,control_warning_ge_0_80
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,4,validation_2025H1,0.0505123927931387,wrong_lag_future_1h,0.0470486244452978,0.9314273556189286,False,True
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,4,test_2025H2,0.0550301051845136,wrong_lag_future_1h,0.0509842553767502,0.9264793371882929,False,True
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,4,recent_oos_2026JanApr,0.0601275160330706,wrong_lag_future_1h,0.0559748944006593,0.9309364180265267,False,True
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,1,validation_2025H1,0.0325732100826361,wrong_lag_future_1h,0.0274785654437536,0.8435940263192446,False,True
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,1,test_2025H2,0.0358993304601317,wrong_lag_future_1h,0.0302541708611215,0.8427502817836818,False,True
a7ab3_6e301587da1c1fa3,L7_ranked_future_return,1,recent_oos_2026JanApr,0.0320244257586867,wrong_lag_future_1h,0.0268682340511751,0.8389919074157647,False,True
a7ab3_4092255ee6888704,L7_ranked_future_return,4,validation_2025H1,0.0237294520182624,wrong_lag_stale_24h,0.0159390600998463,0.6716994597085283,False,False
a7ab3_4092255ee6888704,L7_ranked_future_return,4,test_2025H2,0.0317847237962123,wrong_lag_stale_24h,0.0123828689013129,0.3895855436940601,False,False
a7ab3_4092255ee6888704,L7_ranked_future_return,4,recent_oos_2026JanApr,0.0358817625431411,wrong_lag_stale_24h,0.0147992002781641,0.412443515291949,False,False
a7ab3_0bc78809db3a1428,L7_ranked_future_return,4,validation_2025H1,0.0185042109361665,wrong_lag_future_1h,0.0090368850273084,0.4883691100627155,False,False
a7ab3_0bc78809db3a1428,L7_ranked_future_return,4,test_2025H2,0.0240426598544373,wrong_lag_future_1h,0.0102554376112286,0.4265517073950477,False,False
a7ab3_0bc78809db3a1428,L7_ranked_future_return,4,recent_oos_2026JanApr,0.028454615624839,wrong_lag_stale_24h,0.0177486574717972,0.6237531972248395,False,False
a7ab3_165c7d8966b27a17,L7_ranked_future_return,4,validation_2025H1,0.0169971411503669,symbol_shuffle,0.0061179648830858,0.35994081763295455,False,False
a7ab3_165c7d8966b27a17,L7_ranked_future_return,4,test_2025H2,0.0171859391264564,wrong_lag_stale_24h,0.0022496385069339,0.1308999461932667,False,False
a7ab3_165c7d8966b27a17,L7_ranked_future_return,4,recent_oos_2026JanApr,0.028574420974347,wrong_lag_stale_24h,0.0092695213903054,0.3243992729940955,False,False
a7ab3_6eb23cd8ce4aeef1,L7_ranked_future_return,1,validation_2025H1,0.0149600437272409,wrong_lag_future_1h,0.004660863373159,0.31155412765752716,False,False
a7ab3_6eb23cd8ce4aeef1,L7_ranked_future_return,1,test_2025H2,0.0163892821190386,wrong_lag_future_1h,0.0030488706430099,0.1860283214887235,False,False
a7ab3_6eb23cd8ce4aeef1,L7_ranked_future_return,1,recent_oos_2026JanApr,0.0176457392613175,wrong_lag_future_1h,0.0057339707717443,0.3249493085457832,False,False
a7ab3_04daf24ce962db97,L7_ranked_future_return,1,validation_2025H1,0.0132667548489345,wrong_lag_future_1h,0.0074653662071633,0.5627123054710602,False,False
a7ab3_04daf24ce962db97,L7_ranked_future_return,1,test_2025H2,0.0115048950599807,wrong_lag_future_1h,0.0069387238394705,0.603110571917041,False,False
a7ab3_04daf24ce962db97,L7_ranked_future_return,1,recent_oos_2026JanApr,0.0147867786861903,wrong_lag_future_1h,0.0088520889688829,0.598648911757235,False,False
a7ab3_2ad4a9e8d3c38900,L7_ranked_future_return,4,validation_2025H1,0.0060949367426181,symbol_shuffle,0.0048116012758149,0.7894423648682629,False,False
a7ab3_2ad4a9e8d3c38900,L7_ranked_future_return,4,test_2025H2,0.005539579555757,wrong_lag_stale_24h,0.0025701028969812,0.4639527009428404,False,False
a7ab3_2ad4a9e8d3c38900,L7_ranked_future_return,4,recent_oos_2026JanApr,0.011706314711791,wrong_lag_stale_24h,0.007059903479627,0.6030850573764281,False,False
