info_cluster_id,accepted_formula_count,fields,semantic_types
ic_003,3404,global_long_short_account_ratio_last|global_long_short_account_ratio_mean,positioning_like
ic_013,1894,mark_index_basis_bps,basis_premium_like
ic_005,1633,premium_close|premium_close_bps,basis_premium_like
ic_000,1507,index_close|mark_close|trade_close|trade_high|trade_low|trade_open,price_like
ic_015,1102,realized_vol_168h,volatility_like
ic_016,1057,realized_vol_24h,volatility_like
ic_021,1041,trade_return_1h,price_like
ic_014,367,mark_trade_basis_bps,basis_premium_like
ic_004,288,open_interest_last|open_interest_mean,positioning_like
ic_008,124,age_x_volatility,volatility_like
ic_018,108,taker_buy_sell_volume_ratio_last,liquidity_like
ic_019,104,taker_buy_sell_volume_ratio_mean,liquidity_like
ic_022,66,trade_return_24h,price_like
ic_006,40,taker_buy_quote_volume|trade_quote_volume,liquidity_like
ic_020,20,trade_count,liquidity_like
ic_023,20,trade_volume,liquidity_like
ic_001,6,history_length_hours|listing_age_days|sqrt_listing_age_days,state_or_taxonomy
