source_id,status,independent_information,historical_proof_allowed,forward_only,priority,next_decision,required_contract
unified_core12_1h_with_aggtrades_features_v1,READY_PANEL_FOR_CONTROLLED_EXPERIMENTS,"yes: trade-level aggressor flow, but current standalone family is weak",True,False,completed_data_line,use only under weak-prior registry and controlled diagnostics,inherits base panel plus aggTrades feature availability mask
base_core12_1h_market_funding_mark_index,READY_EXISTING_PANEL,baseline market/funding/mark/index only,True,False,medium,use only under weak-prior registry and controlled diagnostics,existing A7 linkage/funding contracts remain binding; feature_time < execution_time
aggtrades_enhanced_v1_core3,READY_CORE3_SOURCE_TRACE_PASS,"yes: trade-level aggressor flow, but current standalone family is weak",True,False,completed_data_line,use only under weak-prior registry and controlled diagnostics,timestamp is hour bucket start; feature observable only after hour close; raw checksum/source trace must remain closed
aggtrades_enhanced_v1_remaining_core12,MISSING_FOR_9_CORE12_SYMBOLS,"yes: trade-level aggressor flow, but current standalone family is weak",False,False,completed_data_line,data-line backfill allowed; experiment waits for source trace pass,same raw zip checksum/source trace as A7U-0R before experiment use
orderbook_forward_snapshot,FORWARD_ONLY_AVAILABLE,yes: displayed depth/spread state,False,True,high_forward_or_if_historical_available,A7T forward observation only; no historical proof,collector_time/observable_time/event_time retained; no historical backfill into 2024-2026 proof
positioning_forward_oi_longshort_taker_ratio,FORWARD_ONLY_AVAILABLE,yes: positioning/open-interest state,False,True,medium,A7T forward observation only; no historical proof,event_time/observable_time/collector_time and forward_only_flag required; no historical proof use
liquidation_forced_flow,NOT_PRESENT_CONTRACT_REQUIRED,yes: forced-flow event state,False,False,high,write PIT/source contract before any search,event_time and exchange publication semantics; no future aggregate leakage; raw/source trace required
cross_exchange_basis_funding_depth,NOT_PRESENT_CONTRACT_REQUIRED,yes: venue dispersion state,False,False,high,write PIT/source contract before any search,"venue-specific observable_time, symbol mapping, trading calendar, fee/cost convention, and missingness contract"
liquidation_force_order_historical,CONTRACT_REQUIRED_SOURCE_NOT_VALIDATED,yes: forced liquidation / deleveraging event flow not derivable from OHLCV or aggTrades,False,False,high,A7AA-0 liquidation source availability + PIT/source contract,"event_time, side convention, price/qty/notional, publication lag, venue coverage, raw checksum/source trace"
historical_orderbook_depth,CONTRACT_REQUIRED_OR_FORWARD_ONLY,"yes: displayed liquidity, spread, depth imbalance not recoverable from trades",False,True,high_if_historical_source_exists,A7AA-0 depth source feasibility; otherwise A7T forward-only observation,"observable_time, exchange update_time, depth level, snapshot cadence, missingness, no backfill into historical proof"
cross_exchange_basis_funding_premium,CONTRACT_REQUIRED_SOURCE_NOT_VALIDATED,yes: venue dispersion and relative funding/basis state,False,False,high,A7AA-0 venue/PIT/symbol mapping contract,"venue timestamp semantics, mark/index/funding availability, settlement timing, fees, symbol mapping"
