core58_queue,motif,row_count,formula_count,median_score,max_score
materialization_repair,mean_reversion_gate,216,216,117.0,117.0
materialization_repair,relative_shock,216,216,117.0,117.0
materialization_repair,signed_spread,216,216,6.0,85.0
materialization_repair,smooth_mul,216,216,56.0,85.0
numeric_replay_repair,relative_shock,216,216,99.0,99.0
numeric_replay_repair,smooth_mul,216,216,-4.0,56.0
numeric_replay_repair,spread_rank,216,216,-19.0,56.0
numeric_replay_repair,mean_reversion_gate,144,144,99.0,99.0
numeric_replay_repair,gated_sign,122,122,-19.0,103.0
numeric_replay_repair,mul,117,117,-19.0,41.0
materialization_repair,spread_rank,110,110,41.0,85.0
materialization_repair,safe_div_abs,79,79,41.0,85.0
numeric_replay_repair,sub,67,67,-19.0,41.0
materialization_repair,sub,55,55,41.0,85.0
numeric_replay_repair,single,55,55,-13.0,2.0
materialization_repair,gated_sign,48,48,41.0,85.0
numeric_replay_repair,safe_div_abs,47,47,-19.0,41.0
materialization_repair,mul,44,44,41.0,43.0
