core58_queue,semantic_pair,row_count,formula_count,median_score,max_score
numeric_replay_repair,basis_premium_like|funding_like,360,360,99.0,99.0
materialization_repair,basis_premium_like|funding_like,336,336,85.0,99.0
materialization_repair,funding_like|positioning_like,336,336,117.0,117.0
numeric_replay_repair,basis_premium_like|price_like,282,282,-4.0,-4.0
numeric_replay_repair,basis_premium_like|volatility_like,213,213,-19.0,-4.0
numeric_replay_repair,basis_premium_like|basis_premium_like,200,200,-4.0,-4.0
materialization_repair,basis_premium_like|positioning_like,194,194,6.0,6.0
materialization_repair,volatility_like|volatility_like,185,185,41.0,56.0
materialization_repair,basis_premium_like|liquidity_like,62,62,43.0,58.0
numeric_replay_repair,price_like|volatility_like,51,51,-19.0,-4.0
numeric_replay_repair,basis_premium_like,38,38,-13.0,2.0
materialization_repair,basis_premium_like|volatility_like,27,27,-4.0,-4.0
numeric_replay_repair,volatility_like|volatility_like,26,26,56.0,56.0
materialization_repair,basis_premium_like|generic_numeric,24,24,33.0,48.0
materialization_repair,basis_premium_like|state_or_taxonomy,18,18,41.0,56.0
materialization_repair,price_like|volatility_like,18,18,-4.0,-4.0
numeric_replay_repair,volatility_like,14,14,-13.0,-13.0
numeric_replay_repair,funding_like|positioning_like,13,13,103.0,103.0
numeric_replay_repair,price_like,3,3,-13.0,-13.0
