path,subsystem,status,evidence
.planning/phases/01-crypto-search-hardening/01-PLAN.md,planning,keep_core,current planning source of truth
.planning/phases/05-verified-core-extraction-or-new-repo-decision/05-PLAN.md,planning,keep_core,current planning source of truth
.planning/PROJECT.md,planning,keep_core,current planning source of truth
.planning/ROADMAP.md,planning,keep_core,current planning source of truth
.planning/STATE.md,planning,keep_core,current planning source of truth
alphafactory_crypto/__init__.py,unknown,legacy_reference,
alphafactory_crypto/engines/__init__.py,unknown,legacy_reference,
alphafactory_crypto/engines/feature_algebra.py,unknown,legacy_reference,
alphafactory_crypto/engines/formula_gen_v2_adapter.py,formula_generation,wrap_with_contract,formula adapter exists; needs stable queue contract
alphafactory_crypto/engines/search_memory.py,search_memory,keep_core,A7MEM-0/1 pass; imported by search generation
alphafactory_crypto/engines/search_memory_enforcement.py,search_memory,keep_core,A7MEM-0/1 pass; imported by search generation
reports/CRYPTO_A7AA0_LABEL_FEATURE_RESPONSE_CONTRACT_20260529.md,feature_response,archive_only,response profiling evidence
reports/CRYPTO_A7AA1_PRIMITIVE_RESPONSE_MAP_20260529.md,feature_response,archive_only,response profiling evidence
reports/CRYPTO_A7AA2_FEATURE_ROLE_CLASSIFICATION_20260529.md,feature_response,archive_only,response profiling evidence
reports/CRYPTO_A7AA3_SELECTOR_REWRITE_CONTRACT_20260529.md,feature_response,archive_only,response profiling evidence
reports/CRYPTO_A7AA4_RESPONSE_READINESS_HANDOFF_20260529.md,feature_response,archive_only,response profiling evidence
reports/CRYPTO_A7AB0_SELECTOR_REWRITE_DRYRUN_CONTRACT_20260529.md,reports,source_of_truth_evidence,human decision artifact
reports/CRYPTO_A7AB1_SELECTOR_REWRITE_DRYRUN_20260529.md,reports,source_of_truth_evidence,human decision artifact
reports/CRYPTO_A7AB2_SEED_CONSTRAINED_MICRO_GENERATION_CONTRACT_20260529.md,reports,source_of_truth_evidence,human decision artifact
reports/CRYPTO_A7AB3_SEED_CONSTRAINED_DRY_GENERATION_20260529.md,reports,source_of_truth_evidence,human decision artifact
