label_family,cost_bps,candidate_count,median_cost_adjusted_spread,median_control_ratio,median_lag_spread,clean_candidate_count
L0_raw_forward_return,2,31,0.00022791055635,0.6974625475030997,0.0001926553175857,1
L0_raw_forward_return,5,31,-0.0003720894436499,0.6974625475030997,0.0001926553175857,0
L0_raw_forward_return,10,31,-0.0013720894436499,0.6974625475030997,0.0001926553175857,0
L0_raw_forward_return,20,31,-0.0033720894436499,0.6974625475030997,0.0001926553175857,0
L1_cross_sectional_relative_return,2,31,0.00022791055635,0.6974625475030999,0.0001926553175857,1
L1_cross_sectional_relative_return,5,31,-0.0003720894436499,0.6974625475030999,0.0001926553175857,0
L1_cross_sectional_relative_return,10,31,-0.0013720894436499,0.6974625475030999,0.0001926553175857,0
L1_cross_sectional_relative_return,20,31,-0.0033720894436499,0.6974625475030999,0.0001926553175857,0
L3_liquidity_tier_relative_return,2,24,0.00031761862151525005,0.7065979877956634,0.00017392907588315,1
L3_liquidity_tier_relative_return,5,24,-0.00028238137848465004,0.7065979877956634,0.00017392907588315,1
L3_liquidity_tier_relative_return,10,24,-0.0012823813784846498,0.7065979877956634,0.00017392907588315,0
L3_liquidity_tier_relative_return,20,24,-0.00328238137848465,0.7065979877956634,0.00017392907588315,0
L5_vol_adjusted_return,2,10,0.04022338538953075,0.6984727557070995,0.00021315410994135,1
L5_vol_adjusted_return,5,10,0.03962338538953075,0.6984727557070995,0.00021315410994135,1
L5_vol_adjusted_return,10,10,0.03862338538953075,0.6984727557070995,0.00021315410994135,1
L5_vol_adjusted_return,20,10,0.03662338538953075,0.6984727557070995,0.00021315410994135,1
