rank_decile,rows,post_may_eligible_count,may_vetoed_count,median_rank_score,median_raw_may,median_residual_funding_may,median_raw_recent,post_may_eligible_rate
1,20,0,20,2.9971533913500785,-14.65544298619054,-9.953849711383992,4.536413385277027,0.0
2,19,0,19,2.813746990272969,-11.870237937309668,-8.142151105188423,4.512376315840919,0.0
3,19,1,18,2.216130304875568,-10.311018439709317,-6.6770800119541045,3.62420342372578,0.05263157894736842
4,19,0,19,1.8489943116798448,-8.091868369928397,-4.746055391183609,3.389378063325935,0.0
5,19,1,18,1.3908471207006454,-7.452299798055002,-4.920620318936655,3.0010601666595447,0.05263157894736842
6,19,2,17,1.0159888613158752,0.0,0.0,1.827962230957671,0.10526315789473684
7,19,0,19,0.7978780660276386,0.0,0.0,1.34328785389031,0.0
8,19,0,18,0.5132767365506335,0.0,0.0,1.396279775458598,0.0
9,19,4,11,0.153155757136339,-1.3764651044252856,0.0,0.9582755374641848,0.21052631578947367
10,20,5,7,-1.0077244602521085,0.0,0.0,0.9760247668193156,0.25
