field_name,present,non_null_rate,min_symbol_rate,median_symbol_rate,max_symbol_rate
agg_cross_symbol_large_notional_share,True,0.998804914192839,0.998804914192839,0.998804914192839,0.998804914192839
agg_cross_symbol_signed_flow_share,True,0.998804914192839,0.998804914192839,0.998804914192839,0.998804914192839
agg_features_available,True,1.0,1.0,1.0,1.0
agg_flow_accel_4h_vs_24h,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_flow_imbalance_notional_24h,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_large_notional_share_24h,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_large_notional_share_4h,True,0.9987571107605526,0.9987571107605526,0.9987571107605526,0.9987571107605526
agg_notional_accel_4h_vs_24h,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
agg_signed_flow_z_24h,True,0.9982790764376882,0.9982790764376882,0.9982790764376882,0.9982790764376882
flow_pressure_score_v1,True,0.9979922558439696,0.9979922558439696,0.9979922558439696,0.9979922558439696
mark_index_basis_change_24h,True,0.998804914192839,0.998804914192839,0.998804914192839,0.998804914192839
open_interest_change_24h,True,0.9981516006182577,0.9974186146565324,0.998470290166834,0.9985658970314069
premium_index_change_24h,True,0.998804914192839,0.998804914192839,0.998804914192839,0.998804914192839
ret_1,True,0.9999521965677136,0.9999521965677136,0.9999521965677136,0.9999521965677136
ret_24,True,0.9988527176251255,0.9988527176251255,0.9988527176251255,0.9988527176251255
symbol,True,1.0,1.0,1.0,1.0
timestamp,True,1.0,1.0,1.0,1.0
top_long_short_position_ratio_zscore_168h,True,0.9989005210574119,0.9989005210574119,0.9989005210574119,0.9989005210574119
