label_family,label_horizon_h,candidate_rows,unique_blueprints,strict_priority_rows,median_control_ratio,median_cost10
L0_raw_forward_return,1,72,72,0,0.47614942194604354,-0.0009176333678317
L0_raw_forward_return,4,22,22,7,0.8197887966902859,0.00013687452919905
L0_raw_forward_return,8,4,4,1,0.7149831063128645,-0.0008897078300922
L1_cross_sectional_relative_return,1,75,75,0,0.4027168073723258,-0.0009214268387742
L1_cross_sectional_relative_return,4,25,25,10,0.8058852496405307,0.0007832950992356
L1_cross_sectional_relative_return,8,3,3,0,0.974186853483308,0.0007295948758117
L1_cross_sectional_relative_return,24,1,1,0,0.9832131784937672,-0.0009234529340079
L3_liquidity_tier_relative_return,1,79,79,0,0.4058112589799331,-0.0009570988799783
L3_liquidity_tier_relative_return,4,24,24,1,0.9179798861457156,0.00077810338274805
L3_liquidity_tier_relative_return,8,3,3,0,0.7909649429946661,-0.0009329118935055
L5_vol_adjusted_return,1,83,83,73,0.3545930456427911,0.1042850071732376
L5_vol_adjusted_return,4,39,39,25,0.7299706479464568,0.2624300470389692
L5_vol_adjusted_return,8,29,29,22,0.6608341000414076,0.3393866850483854
L5_vol_adjusted_return,24,2,2,0,0.9281493961737656,0.16215808454543174
