semantic_pair,motif,formula_count
open_interest_like|price_like,smooth_mul,450
open_interest_like|price_like,mean_reversion_gate,450
open_interest_like|price_like,delta_x_divergence,450
taker_flow_like|basis_premium_like,safe_div_abs,450
taker_flow_like|basis_premium_like,smooth_mul,450
taker_flow_like|basis_premium_like,gated_sign,450
taker_flow_like|basis_premium_like,relative_shock,450
open_interest_like|price_like,spread_rank,450
liquidity_like|volatility_like,liquidity_shock,360
liquidity_like|volatility_like,mean_reversion_gate,360
liquidity_like|volatility_like,safe_div_abs,360
taker_flow_like|open_interest_like,relative_shock,360
open_interest_like|positioning_like,spread_rank,360
open_interest_like|positioning_like,safe_div_abs,360
open_interest_like|positioning_like,smooth_mul,360
open_interest_like|positioning_like,delta_x_divergence,360
liquidity_like|volatility_like,spread_rank,360
liquidity_like|volatility_like,smooth_mul,360
open_interest_like|positioning_like,signed_spread,360
taker_flow_like|open_interest_like,smooth_mul,360
taker_flow_like|open_interest_like,safe_div_abs,360
taker_flow_like|open_interest_like,flow_x_leverage,360
taker_flow_like|open_interest_like,gated_sign,360
liquidity_like,single,108
open_interest_like,single,60
taker_flow_like,single,48
volatility_like,single,24
