symbol,ok_runs,initial_ok,retry_ok,rows_max,timestamp_min,timestamp_max,ready,latest_status
1000BONKUSDT,2,False,True,5232,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,True,ok
1000FLOKIUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
1INCHUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
AAVEUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
ACEUSDT,1,True,False,5439,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,True,ok
ACHUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
ALGOUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
APEUSDT,2,False,True,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
API3USDT,1,True,False,5821,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,True,ok
APTUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
ARBUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
ARUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
ATOMUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
AXSUSDT,2,False,True,3145,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,True,ok
BANDUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
BATUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
BLURUSDT,1,True,False,2811,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,True,ok
BOMEUSDT,1,True,False,4780,2024-03-16 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,True,ok
CELOUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
CHZUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
DASHUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
ETCUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
GMXUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
HBARUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
KNCUSDT,2,False,True,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
LRCUSDT,1,True,False,3156,2024-01-01 00:00:00+00:00,2026-03-24 08:00:00+00:00,True,ok
MAGICUSDT,2,False,True,3802,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,True,ok
MANAUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
MASKUSDT,1,True,False,4413,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,True,ok
NEARUSDT,2,False,True,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
PENDLEUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
SEIUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
UNIUSDT,2,False,True,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
WLDUSDT,2,False,True,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
YFIUSDT,1,True,False,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
ZECUSDT,2,False,True,2616,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,True,ok
