seed_lane,primary_failure,rows,label_family_count
S0_positioning_price_basis,cost_adjusted_spread_not_positive_all_premay,31,3
S1_liquidity_basis_positioning,cost_adjusted_spread_not_positive_all_premay,33,3
S2_taker_flow_liquidity_oi,cost_adjusted_spread_not_positive_all_premay,8,3
S2_taker_flow_liquidity_oi,one_bar_lag_not_positive_all_premay,2,1
S2_taker_flow_liquidity_oi,clean,1,1
S2_taker_flow_liquidity_oi,control_ratio_not_clean_all_premay,1,1
S3_cross_family_bridge,cost_adjusted_spread_not_positive_all_premay,13,3
S3_cross_family_bridge,one_bar_lag_not_positive_all_premay,5,1
S3_cross_family_bridge,clean,1,1
S3_cross_family_bridge,control_ratio_not_clean_all_premay,1,1
