candidate_id,family_id,replay_rows,positive_rows,control_clean_rows,split_pass_rows,median_net_book_return,median_control_ratio,train_split_pass_count,train_median_net_book_return,train_median_control_ratio,oos_split_count,oos_positive_split_count,oos_control_clean_split_count,oos_min_net_book_return,oos_worst_control_ratio,book_survivor,failure_mode
a7ffcore33_000,F1b_taker_flow_market_panel,32,15,12,4,-0.005848171,1.4008209,1.0,0.033945538,1.8329455,3,2,1,-0.053230025,2.6236854,False,control_dominated
a7ffcore33_001,F1b_taker_flow_market_panel,24,18,0,0,0.00028637436,75.08801,,,,3,2,0,-0.0006005027,111.12366,False,control_dominated
a7ffcore33_002,F2a_basis_funding_independent,24,19,0,0,0.0011602431,8.790702,,,,3,2,0,-0.0034126362,31.18752,False,control_dominated
a7ffcore33_003,F2a_basis_funding_independent,32,21,1,1,0.020244397,1.8757536,0.0,-0.07355357,1.7606075,3,3,0,0.02000714,4.2875695,False,control_dominated
a7ffcore33_004,F2a_basis_funding_independent,24,12,0,0,0.000107315864,23.610128,,,,3,1,0,-0.00075023976,53.031548,False,control_dominated
a7ffcore33_005,F2a_basis_funding_independent,32,22,0,0,0.023455665,2.521877,0.0,0.041617166,1.7918062,3,2,0,-0.0076453667,11.378815,False,control_dominated
a7ffcore33_006,F1b_taker_flow_market_panel,32,22,6,0,0.015759088,1.4995904,0.0,0.05572473,1.5417823,3,2,1,-0.07875171,6.349144,False,control_dominated
a7ffcore33_007,F1a_aggtrades_flow_microstructure,32,8,4,2,-0.00088598696,3.7129197,0.0,-0.005176046,4.156652,3,1,0,-0.0013340808,5.2833953,False,control_dominated
a7ffcore33_008,F1a_aggtrades_flow_microstructure,32,11,6,1,-0.00068411906,2.03359,1.0,-0.0026055227,3.2088408,3,1,0,-0.0030019456,2.995966,False,control_dominated
a7ffcore33_009,F2a_basis_funding_independent,24,15,0,0,0.0011355692,17.04825,,,,3,2,0,-0.0025097518,62.593845,False,control_dominated
a7ffcore33_010,F2a_basis_funding_independent,16,5,0,0,-0.0055950577,5.7773185,,,,2,1,0,-0.015416671,70.9573,False,control_dominated
a7ffcore33_011,F2a_basis_funding_independent,32,10,6,1,-0.008595808,3.1449585,0.0,-0.096346684,1.0748583,3,1,0,-0.010238046,9.574413,False,control_dominated
a7ffcore33_012,F1b_taker_flow_market_panel,32,17,5,1,0.008368526,2.7823873,0.0,-0.0071221814,4.687437,3,2,0,-0.018733697,3.4831057,False,control_dominated
a7ffcore33_013,F2a_basis_funding_independent,32,18,0,0,0.018639974,1.7656809,0.0,-0.049393617,3.001745,3,2,0,-0.029100206,4.5127096,False,control_dominated
a7ffcore33_014,F1b_taker_flow_market_panel,16,8,0,0,-0.0015589441,17.650267,,,,2,1,0,-0.0056770034,23.074007,False,control_dominated
a7ffcore33_015,F1a_aggtrades_flow_microstructure,32,3,6,0,-0.0016344634,2.13159,0.0,-0.0014850539,6.6756334,3,0,0,-0.0027581598,2.8332138,False,control_dominated
a7ffcore33_016,F1a_aggtrades_flow_microstructure,32,18,1,0,0.00011276123,4.1215506,0.0,0.0005254606,6.415927,3,2,0,-0.0015922021,6.9294343,False,control_dominated
a7ffcore33_017,F1a_aggtrades_flow_microstructure,32,8,8,2,-0.0019394459,1.7555182,0.0,-0.0030843818,3.7219138,3,1,0,-0.0023080865,2.1039305,False,control_dominated
a7ffcore33_018,F1a_aggtrades_flow_microstructure,32,8,3,0,-0.0006295478,3.408411,0.0,-0.00038379856,6.318507,3,0,0,-0.0013960195,4.771617,False,control_dominated
a7ffcore33_019,F1b_taker_flow_market_panel,24,11,0,0,-0.0017777162,18.076162,,,,3,1,0,-0.0040473267,34.356007,False,control_dominated
a7ffcore33_020,F1a_aggtrades_flow_microstructure,32,5,3,1,-0.001695554,2.542616,0.0,-0.0048566638,2.5517478,3,0,0,-0.0029560127,9.023396,False,control_dominated
