chain_node,cn_mature_chain_status,crypto_current_status,parity_status,blocking_for_large_search,next_action
generator_feature_adapter,locked_chain_uses_feature_adapters_and_formula_generation,A7AR0_A7AR1_A7AR2_smokes_present,mostly_present,false,keep_under_A7AL2U_feature_contract
search_memory_duplicate_control,search_memory_and_duplicate_control_required,A7AR3_fresh_memory_dedup_smoke_present,partial,false,extend_into_shared_candidate_pool
shared_candidate_pool,shared_candidate_pool_before_frozen_selection,no_durable_unified_candidate_pool_across_A7AR_A7AL_Q_R_T,missing,true,A7AR7_shared_candidate_pool_builder
frozen_selection,frozen_selection_after_pool_and_before_replay,A7AR4_plumbing_selector_and_A7AL2U_contract_only,partial,true,A7AL2V_replay_aware_selector_dryrun
strict_replay_validation,strict_replay_validation_before_candidates,A7AL2Q_fast_replay_and_A7AL2R_forensic_exist_but_local_to_OI_price,partial,true,A7AL3_strict_replay_proxy_after_selector
global_clustering,global_clustering_not_seed_local,no_global_signal_vector_registry_or_selected_queue_corr_cap,missing,true,A7AR8_signal_vector_cluster_registry
oos_regime_marginal_audit,OOS_regime_marginal_audit_against_official_object,crypto_has_latent_May_control_forensics_but_no_official_marginal_book,partial,true,A7AL4_global_marginal_audit_after_candidate_pool
promotion_triage,promotion_triage_separate_from_diagnostics,many_not_authorized_manifests_but_no_central_promotion_queue,missing,true,A7AL5_promotion_triage_registry
chain_lock_update,chain_lock_update_after_promotion,no_crypto_chain_lock_registry_for_candidates,missing,true,A7AL5_chain_lock_update
forward_object,Phase3P_locked_daily_forward,forward_contracts_exist_but_no_candidate_bound_forward_object,partial,false,A7T_candidate_bound_forward_when_stress_clean
