candidate_id,arm,family,expression,funding_beta_recent,core4_beta_recent,pass_beta,a7k_preselection_pass,first_a7k_preselection_fail
i1_flow_liquidity_237,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_12),ZScore(quote_volume_mean_6))",0.2876330284040222,0.2977917430016894,True,True,pass
i1_flow_liquidity_021,I1_flow_liquidity,flow_liquidity,volume,0.5842326262732317,0.5441539909074002,False,False,beta
i1_flow_liquidity_023,I1_flow_liquidity,flow_liquidity,ZScore(volume),0.5842326262732317,0.5441539909074002,False,False,beta
i2_microstructure_lite_167,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_12))",0.3697898557358583,0.3468437368057481,True,True,pass
i1_flow_liquidity_203,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_6),ZScore(avg_trade_size_quote))",0.402348375182313,0.4380739523342533,True,True,pass
i1_flow_liquidity_235,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_12),ZScore(avg_trade_size_quote))",0.3921945952392714,0.4271337247786231,True,True,pass
i1_flow_liquidity_113,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_asset_volume),ZScore(quote_volume_mean_12))",0.2861600254110474,0.2919836279559446,True,True,pass
i1_flow_liquidity_227,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_12),ZScore(quote_asset_volume))",0.2861600254110474,0.2919836279559446,True,True,pass
i1_flow_liquidity_207,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_6),ZScore(quote_volume_mean_12))",0.311702620438755,0.3314171412926989,True,True,pass
i1_flow_liquidity_141,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(quote_volume_mean_6))",0.3279474759685937,0.326411490479053,True,True,pass
i1_flow_liquidity_107,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_asset_volume),ZScore(avg_trade_size_quote))",0.3876474491898178,0.4123417025809714,True,False,cost20_recent_nonnegative
i1_flow_liquidity_239,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_volume_mean_12),Rank(volume))",0.3115516011610068,0.2845673909386634,True,True,pass
i1_flow_liquidity_145,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),Rank(volume))",0.3455955912426596,0.3161147588535845,True,False,cost20_recent_nonnegative
i1_flow_liquidity_173,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(avg_trade_size_quote),Rank(ret_12))",0.3292060709251903,0.3644710697888647,True,False,cost20_recent_nonnegative
i1_flow_liquidity_206,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_6),ZScore(quote_volume_mean_12))",0.1734567566757899,0.172625613374194,True,True,pass
i1_flow_liquidity_137,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(number_of_trades),ZScore(avg_trade_size_quote))",0.232482980170699,0.2931475508730378,True,False,cost20_recent_nonnegative
i1_flow_liquidity_143,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(number_of_trades),ZScore(quote_volume_mean_12))",0.1787749160801337,0.2187168993894907,True,False,cost20_recent_nonnegative
i1_flow_liquidity_199,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_volume_mean_6),ZScore(number_of_trades))",0.1796054420497472,0.217060364237176,True,False,cost20_recent_nonnegative
i2_microstructure_lite_013,I2_microstructure_lite,microstructure_lite,Rank(realized_vol_24),0.5144784274962535,0.4891653132256071,False,False,cost20_validation_nonnegative
i1_flow_liquidity_022,I1_flow_liquidity,flow_liquidity,Rank(volume),0.367664266776796,0.3369332456669277,True,True,pass
i1_flow_liquidity_171,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(avg_trade_size_quote),ZScore(quote_volume_mean_6))",0.3087110128908185,0.3231693856161303,True,False,cost20_recent_nonnegative
i1_flow_liquidity_175,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(avg_trade_size_quote),ZScore(quote_volume_mean_12))",0.3061077909208077,0.3237455262813374,True,False,cost20_recent_nonnegative
i1_flow_liquidity_115,I1_flow_liquidity,flow_liquidity,"Mul(Rank(quote_asset_volume),Rank(volume))",0.3239007885157693,0.3011746452618051,True,False,cost20_recent_nonnegative
i1_flow_liquidity_101,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_asset_volume),Rank(ret_12))",0.3095534759412784,0.3221011658025236,True,False,cost20_recent_nonnegative
i1_flow_liquidity_135,I1_flow_liquidity,flow_liquidity,"Mul(Rank(number_of_trades),ZScore(quote_asset_volume))",0.3255743593308909,0.3200621501193561,True,False,cost20_recent_nonnegative
i2_microstructure_lite_139,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_12),Rank(quote_volume_mean_12))",0.3512316967957197,0.3487313774428164,True,False,cost20_validation_nonnegative
i2_microstructure_lite_111,I2_microstructure_lite,microstructure_lite,"Mul(Rank(realized_vol_6),Rank(quote_volume_mean_12))",0.3221700504528297,0.3385836141906609,True,False,cost20_validation_nonnegative
i1_flow_liquidity_103,I1_flow_liquidity,flow_liquidity,"Mul(ZScore(quote_asset_volume),ZScore(number_of_trades))",0.1993862965066985,0.2307952352291887,True,False,cost20_recent_nonnegative
