stage_id,commit,report_path,runtime_path,manifest_path,decision,evidence_level,authorizes_contract,authorizes_execution,authorizes_search,authorizes_alpha_proof,authorizes_shadow_paper_live,supersedes,superseded_by,current_status,notes,artifact_count
A7AA-0,fa3b2d7,reports/CRYPTO_A7AA0_LABEL_FEATURE_RESPONSE_CONTRACT_20260529.md,runtime/a7aa0_label_feature_response_contract,runtime/a7aa0_label_feature_response_contract/a7aa0_manifest.json,PASS_A7AA0_LABEL_FEATURE_RESPONSE_CONTRACT_READY_FOR_A7AA1,contract,True,False,False,False,False,,,valid_or_historical_record,,6
A7AA-1,fa3b2d7,reports/CRYPTO_A7AA1_PRIMITIVE_RESPONSE_MAP_20260529.md,runtime/a7aa1_primitive_response_map,runtime/a7aa1_primitive_response_map/a7aa1_manifest.json,PASS_A7AA1_PRIMITIVE_RESPONSE_CANDIDATES_FOUND_FORMULA_SEARCH_STILL_HOLD,hold,True,False,False,False,False,,,hold,,6
A7AA-2,fa3b2d7,reports/CRYPTO_A7AA2_FEATURE_ROLE_CLASSIFICATION_20260529.md,runtime/a7aa2_feature_role_classification,runtime/a7aa2_feature_role_classification/a7aa2_manifest.json,PASS_A7AA2_FEATURE_ROLES_READY_FOR_SELECTOR_REWRITE_CONTRACT,contract,True,False,False,False,False,,,valid_or_historical_record,,6
A7AA-3,fa3b2d7,reports/CRYPTO_A7AA3_SELECTOR_REWRITE_CONTRACT_20260529.md,runtime/a7aa3_selector_rewrite_contract,runtime/a7aa3_selector_rewrite_contract/a7aa3_manifest.json,PASS_A7AA3_SELECTOR_REWRITE_CONTRACT_READY_FOR_A7AB0,contract,True,False,False,False,False,,,valid_or_historical_record,,5
A7AA-4,8bad66e,reports/CRYPTO_A7AA4_RESPONSE_READINESS_HANDOFF_20260529.md,runtime/a7aa4_response_readiness_handoff,runtime/a7aa4_response_readiness_handoff/a7aa4_manifest.json,PASS_A7AA4_RESPONSE_LABEL_READINESS_HANDOFF_FOR_A7SEL0,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,4
A7AB-0,2eca9f5,reports/CRYPTO_A7AB0_SELECTOR_REWRITE_DRYRUN_CONTRACT_20260529.md,runtime/a7ab0_selector_rewrite_dryrun_contract,runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_manifest.json,PASS_A7AB0_SELECTOR_REWRITE_DRYRUN_CONTRACT_READY_FOR_A7AB1,contract,True,False,False,False,False,,,valid_or_historical_record,,5
A7AB-1,2eca9f5,reports/CRYPTO_A7AB1_SELECTOR_REWRITE_DRYRUN_20260529.md,runtime/a7ab1_selector_rewrite_dryrun,runtime/a7ab1_selector_rewrite_dryrun/a7ab1_manifest.json,PASS_A7AB1_SELECTOR_REWRITE_DRYRUN_READY_FOR_A7AB2_CONTRACT,contract,True,False,False,False,False,,,valid_or_historical_record,,7
A7AB-2,2eca9f5,reports/CRYPTO_A7AB2_SEED_CONSTRAINED_MICRO_GENERATION_CONTRACT_20260529.md,runtime/a7ab2_seed_constrained_micro_generation_contract,runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_manifest.json,PASS_A7AB2_SEED_CONSTRAINED_MICRO_GENERATION_CONTRACT_READY_FOR_A7AB3_DRY_GENERATION,contract,True,False,False,False,False,,,valid_or_historical_record,,8
A7AB-3,2eca9f5,reports/CRYPTO_A7AB3_SEED_CONSTRAINED_DRY_GENERATION_20260529.md,runtime/a7ab3_seed_constrained_dry_generation,runtime/a7ab3_seed_constrained_dry_generation/a7ab3_manifest.json,PASS_A7AB3_SEED_CONSTRAINED_DRY_GENERATION_READY_FOR_A7AB4_MATERIALIZATION_PREFLIGHT,governance_or_audit,True,False,False,False,False,,,valid_or_historical_record,,7
A7AB-4,3c67dec,reports/CRYPTO_A7AB4_MATERIALIZATION_PREFLIGHT_20260529.md,runtime/a7ab4_materialization_preflight,runtime/a7ab4_materialization_preflight/a7ab4_manifest.json,PASS_A7AB4_MATERIALIZATION_PREFLIGHT_READY_FOR_A7AB5_NUMERIC_REPLAY_CONTRACT,contract,True,True,False,False,False,,,valid_or_historical_record,,7
