field,candidate_count,field_type,candidate_share
funding_rate,60,funding_like,0.15625
global_long_short_account_ratio_last,58,positioning_like,0.1510416666666666
trade_close,53,price_like,0.1380208333333333
kline_taker_buy_quote_share,47,liquidity_like,0.1223958333333333
index_close,44,price_like,0.1145833333333333
trade_return_1h,41,price_like,0.1067708333333333
trade_high,34,price_like,0.0885416666666666
taker_buy_quote_volume,31,liquidity_like,0.0807291666666666
realized_vol_24h,30,volatility_like,0.078125
realized_vol_168h,27,volatility_like,0.0703125
mark_trade_basis_bps,25,basis_premium_like,0.0651041666666666
trade_open,24,price_like,0.0625
age_percentile_active_universe,22,state_or_taxonomy,0.0572916666666666
funding_rate_abs_168h,22,funding_like,0.0572916666666666
age_x_volatility,21,volatility_like,0.0546875
listing_age_days,19,state_or_taxonomy,0.0494791666666666
global_long_short_account_ratio_mean,17,positioning_like,0.0442708333333333
history_length_hours,13,generic_numeric,0.0338541666666666
taker_buy_sell_volume_ratio_last,13,liquidity_like,0.0338541666666666
mark_index_basis_bps,12,basis_premium_like,0.03125
trade_quote_volume,11,liquidity_like,0.0286458333333333
mark_close,10,price_like,0.0260416666666666
trade_count,10,liquidity_like,0.0260416666666666
age_x_funding_abs,8,funding_like,0.0208333333333333
trade_return_24h,8,price_like,0.0208333333333333
open_interest_mean,6,positioning_like,0.015625
open_interest_last,5,positioning_like,0.0130208333333333
execution_time,4,generic_numeric,0.0104166666666666
premium_close_bps,4,basis_premium_like,0.0104166666666666
source_metrics,3,state_or_taxonomy,0.0078125
trade_low,3,price_like,0.0078125
premium_close,2,basis_premium_like,0.0052083333333333
source_market_funding,2,funding_like,0.0052083333333333
taker_buy_sell_volume_ratio_mean,2,liquidity_like,0.0052083333333333
funding_rate_mean_168h,1,funding_like,0.0026041666666666
gap_hours_recent_168h,1,liquidity_like,0.0026041666666666
rolling_coverage_168h,1,liquidity_like,0.0026041666666666
sqrt_listing_age_days,1,state_or_taxonomy,0.0026041666666666
trade_volume,1,liquidity_like,0.0026041666666666
