decision,label_family,count
A7FF19S01_NUMERIC_CLUE,L0_raw_forward_return,36
A7FF19S01_NUMERIC_CLUE,L1_cross_sectional_relative_return,37
A7FF19S01_NUMERIC_CLUE,L3_liquidity_tier_relative_return,34
A7FF19S01_NUMERIC_CLUE,L5_vol_adjusted_return,39
A7FF19S01_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,28
HOLD_A7FF19S01_CONTROL_DOMINATED,L0_raw_forward_return,36
HOLD_A7FF19S01_CONTROL_DOMINATED,L1_cross_sectional_relative_return,35
HOLD_A7FF19S01_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,29
HOLD_A7FF19S01_CONTROL_DOMINATED,L5_vol_adjusted_return,31
HOLD_A7FF19S01_CONTROL_DOMINATED,L7_ranked_future_return,11
HOLD_A7FF19S01_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,1
HOLD_A7FF19S01_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,1
HOLD_A7FF19S01_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,10
HOLD_A7FF19S01_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,34
HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L0_raw_forward_return,40
HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,40
HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,47
HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,32
HOLD_A7FF19S01_PRE_MAY_UNSTABLE,L7_ranked_future_return,39
