motif,evaluated_count,activity_ok_count,median_finite_share,median_nonzero_share
clip_atom,35,35,0.98828125,0.9757029715127702
clip_horizon_spread,66,66,0.9859619140625,1.0
decay_atom,26,26,0.985107421875,0.999931718275495
horizon_spread,74,74,0.98828125,1.0
pair_clip_mul,5,5,0.8818359375,1.0
pair_mul,4,4,0.8475341796875,0.9931700628840245
pair_rank_mul,4,4,0.9178466796875,1.0
pair_sub,4,4,0.8505859375,0.999726427956372
pair_winsor_sub,5,5,0.847412109375,1.0
pair_zscore_sub,4,4,0.91796875,1.0
rank_atom,24,24,0.994140625,1.0
rank_horizon_spread,37,37,0.98779296875,1.0
self_interaction,37,37,0.9873046875,0.9989997837370242
single_atom,33,33,0.993896484375,1.0
winsor_atom,29,29,0.993896484375,1.0
winsor_self_interaction,45,45,0.988037109375,1.0
zscore_atom,36,36,0.9879150390625,0.9998793250750266
zscore_self_interaction,44,44,0.98828125,1.0
