interaction_family,operator,label_family,near_miss_count,median_control_ratio
I3_positioning_divergence_x_price_or_basis,Sub,L0_raw_forward_return,11,1.1786914711712388
I3_positioning_divergence_x_price_or_basis,Sub,L1_cross_sectional_relative_return,11,1.1786914711712388
I3_positioning_divergence_x_price_or_basis,Sub,L3_liquidity_tier_relative_return,11,1.1701009619117906
I3_positioning_divergence_x_price_or_basis,Sub,L5_vol_adjusted_return,10,1.1642107124116632
I5_liquidity_state_x_basis_or_positioning,Mul,L0_raw_forward_return,6,1.1325386498843977
I5_liquidity_state_x_basis_or_positioning,Mul,L1_cross_sectional_relative_return,6,1.132538649884398
I5_liquidity_state_x_basis_or_positioning,Mul,L5_vol_adjusted_return,4,1.1209078807676045
I5_liquidity_state_x_basis_or_positioning,Mul,L3_liquidity_tier_relative_return,4,1.1797841831822935
I4_taker_flow_x_OI_or_liquidity,SafeDiv,L5_vol_adjusted_return,3,1.3266086881805317
I4_taker_flow_x_OI_or_liquidity,SafeDiv,L1_cross_sectional_relative_return,2,1.2888526161748726
I5_liquidity_state_x_basis_or_positioning,SafeDiv,L5_vol_adjusted_return,2,1.2379312567474532
I5_liquidity_state_x_basis_or_positioning,SafeDiv,L0_raw_forward_return,2,1.0034919657523278
I5_liquidity_state_x_basis_or_positioning,SafeDiv,L1_cross_sectional_relative_return,2,1.0034919657523278
I4_taker_flow_x_OI_or_liquidity,SafeDiv,L0_raw_forward_return,2,1.2888526161748728
I3_positioning_divergence_x_price_or_basis,Mul,L5_vol_adjusted_return,1,1.2953134621387616
I3_positioning_divergence_x_price_or_basis,Mul,L3_liquidity_tier_relative_return,1,1.0972747425494838
I3_positioning_divergence_x_price_or_basis,Mul,L1_cross_sectional_relative_return,1,1.4123921183215686
I3_positioning_divergence_x_price_or_basis,Mul,L0_raw_forward_return,1,1.4123921183215689
I2_OI_delta_x_basis_premium_dislocation,Mul,L3_liquidity_tier_relative_return,1,1.3119018509238942
I4_taker_flow_x_OI_or_liquidity,Mul,L1_cross_sectional_relative_return,1,1.0114124588254485
I4_taker_flow_x_OI_or_liquidity,Mul,L0_raw_forward_return,1,1.0114124588254487
I4_taker_flow_x_OI_or_liquidity,Mul,L5_vol_adjusted_return,1,1.0208243877347547
