interaction_family,operator,label_family,candidate_count,lag_ok_count,median_control_ratio,median_recent_lag
I5_liquidity_state_x_basis_or_positioning,Mul,L5_vol_adjusted_return,12,6,0.7215561790085155,0.02310974460430405
I3_positioning_divergence_x_price_or_basis,Sub,L5_vol_adjusted_return,11,9,0.7884221291770294,0.0507313240411033
I5_liquidity_state_x_basis_or_positioning,Mul,L3_liquidity_tier_relative_return,11,6,0.6214773593674814,0.0003248646287772
I5_liquidity_state_x_basis_or_positioning,Mul,L1_cross_sectional_relative_return,8,7,0.6962315237172908,0.00049176740629515
I5_liquidity_state_x_basis_or_positioning,Mul,L0_raw_forward_return,8,7,0.6962315237172907,0.00049176740629515
I3_positioning_divergence_x_price_or_basis,Sub,L0_raw_forward_return,7,7,0.7006919469102904,0.0005614575157677
I3_positioning_divergence_x_price_or_basis,Sub,L3_liquidity_tier_relative_return,7,7,0.664919577671632,0.0005387838343967
I3_positioning_divergence_x_price_or_basis,Sub,L1_cross_sectional_relative_return,7,7,0.70069194691029,0.0005614575157677
I5_liquidity_state_x_basis_or_positioning,SafeDiv,L3_liquidity_tier_relative_return,4,0,0.8448677835489189,0.00013179996821915
I5_liquidity_state_x_basis_or_positioning,SafeDiv,L5_vol_adjusted_return,3,1,0.8568182496438734,0.0202349294885699
I5_liquidity_state_x_basis_or_positioning,SafeDiv,L1_cross_sectional_relative_return,2,0,0.8096273199756587,0.00018196586147349998
I5_liquidity_state_x_basis_or_positioning,SafeDiv,L0_raw_forward_return,2,0,0.8096273199756587,0.00018196586147349998
I3_positioning_divergence_x_price_or_basis,Mul,L0_raw_forward_return,1,1,0.9847471807734456,0.0016072967643782
I3_positioning_divergence_x_price_or_basis,Mul,L1_cross_sectional_relative_return,1,1,0.9847471807734456,0.0016072967643782
