candidate_id,engine,arm,seed,ordinal,family,object_type,signal_mode,expression,expr_hash,horizon,source_fields,source_field_families,operator_signature,formula_depth,may_used_for_generation,may_used_for_static_score,static_score,selected_for_strict_replay
e0_current_a7l_manual_generator_s1_00081,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,81,manual_a7l_control,generated_candidate,original,"Mul(Mul(Rank(avg_trade_size_quote),ZScore(hl_range)),Rank(quote_volume_mean_12))",9f0e1a94100d1281,24,avg_trade_size_quote;hl_range;quote_volume_mean_12,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_00825,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,825,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(quote_asset_volume),ZScore(realized_vol_6)),Rank(hl_range))",a082f118fb7f65a9,24,hl_range;quote_asset_volume;realized_vol_6,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_01217,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,1217,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(quote_volume_mean_12),ZScore(realized_vol_6)),Rank(realized_vol_12))",ad00caa64ccd86cc,24,quote_volume_mean_12;realized_vol_12;realized_vol_6,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_02129,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,2129,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(realized_vol_6),ZScore(quote_asset_volume)),Rank(hl_range))",42728dacb226ee3a,24,hl_range;quote_asset_volume;realized_vol_6,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_02241,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,2241,manual_a7l_control,generated_candidate,original,"Mul(Mul(Rank(abs_ret_1),ZScore(number_of_trades)),Rank(realized_vol_12))",13fae197fc1e7852,24,abs_ret_1;number_of_trades;realized_vol_12,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_02361,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,2361,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(avg_trade_size_quote),Rank(realized_vol_24)),Rank(realized_vol_6))",d76f11cadc9b1646,24,avg_trade_size_quote;realized_vol_24;realized_vol_6,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_02729,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,2729,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(quote_volume_mean_6),ZScore(avg_trade_size_quote)),Rank(realized_vol_6))",1fc50a1347cc50c0,24,avg_trade_size_quote;quote_volume_mean_6;realized_vol_6,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_02825,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,2825,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(quote_volume_mean_6),ZScore(abs_ret_1)),Rank(realized_vol_24))",3b602fd0c40154dc,24,abs_ret_1;quote_volume_mean_6;realized_vol_24,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_02953,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,2953,manual_a7l_control,generated_candidate,original,"Mul(Mul(Rank(realized_vol_24),ZScore(quote_asset_volume)),Rank(quote_volume_mean_24))",4a85a4def7eba25a,24,quote_asset_volume;quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03025,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3025,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(quote_asset_volume),Rank(avg_trade_size_quote)),Rank(hl_range))",83bd1bb2871aa878,24,avg_trade_size_quote;hl_range;quote_asset_volume,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03073,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3073,manual_a7l_control,generated_candidate,original,"Mul(Mul(Rank(quote_asset_volume),ZScore(realized_vol_12)),Rank(realized_vol_24))",d2406533cd19335e,24,quote_asset_volume;realized_vol_12;realized_vol_24,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03113,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3113,manual_a7l_control,generated_candidate,original,"Mul(Mul(Rank(quote_asset_volume),ZScore(realized_vol_6)),Rank(quote_volume_mean_12))",a7d7c3bde039aef3,24,quote_asset_volume;quote_volume_mean_12;realized_vol_6,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03117,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3117,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(quote_asset_volume),ZScore(abs_ret_1)),Rank(hl_range))",528672db7a1ea0ab,24,abs_ret_1;hl_range;quote_asset_volume,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03141,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3141,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(hl_range),Rank(quote_volume_mean_6)),Rank(realized_vol_12))",33e935e831064142,24,hl_range;quote_volume_mean_6;realized_vol_12,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03161,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3161,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(hl_range),ZScore(number_of_trades)),Rank(quote_volume_mean_6))",40c0f46f85148db0,24,hl_range;number_of_trades;quote_volume_mean_6,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03173,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3173,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(hl_range),ZScore(realized_vol_12)),Rank(avg_trade_size_quote))",054b907c00374037,24,avg_trade_size_quote;hl_range;realized_vol_12,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03217,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3217,manual_a7l_control,generated_candidate,original,"Mul(Mul(ZScore(hl_range),ZScore(abs_ret_1)),Rank(number_of_trades))",5653dce29b38826c,24,abs_ret_1;hl_range;number_of_trades,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
e0_current_a7l_manual_generator_s1_03345,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,1,3345,manual_a7l_control,generated_candidate,original,"Mul(Mul(Rank(number_of_trades),ZScore(realized_vol_24)),Rank(quote_volume_mean_6))",6d31526351e58366,24,number_of_trades;quote_volume_mean_6;realized_vol_24,liquidity;volatility,Mul;Rank;ZScore,3,False,False,1.2143670000000002,True
