dominant_control,semantic_bucket,motif_bucket,row_count,candidate_count,median_control_ratio,median_cost_adjusted_spread
wrong_lag_future_spread,taker_flow_like|basis_premium_like,gated_sign,60,24,3.704270322640016,-0.0007253513253299
wrong_lag_future_spread,liquidity_like,single,45,18,5.04794850897545,-0.0009547362037735
wrong_lag_future_spread,open_interest_like|positioning_like,delta_x_divergence,42,22,7.172374367755651,-0.0010965594615236
wrong_lag_future_spread,liquidity_like|volatility_like,liquidity_shock,33,21,1.7588273004550798,-0.0011460974610432
wrong_lag_future_spread,taker_flow_like|open_interest_like,flow_x_leverage,33,21,3.2201522528713813,-0.0011029177526888
same_family_placebo_spread,liquidity_like|volatility_like,liquidity_shock,22,19,1.5235285833806032,-0.0008839646963106
wrong_lag_stale_spread,liquidity_like|volatility_like,liquidity_shock,17,14,1.0437150873507737,-0.0010483351860378
time_shuffle_spread,open_interest_like|positioning_like,delta_x_divergence,15,9,3.757624435810205,-0.0008273492377109
wrong_lag_stale_spread,open_interest_like|positioning_like,delta_x_divergence,15,12,1.3910250992249626,-0.0006783779274423
wrong_lag_stale_spread,taker_flow_like|open_interest_like,flow_x_leverage,12,9,2.7021321675407206,-0.0010525204791695
time_shuffle_spread,taker_flow_like|open_interest_like,flow_x_leverage,10,9,1.3732232389314871,-0.0010466300834652
time_shuffle_spread,liquidity_like|volatility_like,liquidity_shock,9,8,0.8764230018362403,-8.640659790878035e-05
symbol_shuffle_spread,taker_flow_like|open_interest_like,flow_x_leverage,9,8,2.1031346495252805,-0.0008084727980553
same_family_placebo_spread,taker_flow_like|basis_premium_like,gated_sign,8,6,1.486665045845272,-0.0003328201054984
same_family_placebo_spread,taker_flow_like|open_interest_like,flow_x_leverage,8,8,2.4442190879059997,-0.0009066329042517
same_family_placebo_spread,open_interest_like|positioning_like,delta_x_divergence,7,6,1.3693537064227108,-0.0008660703911635
wrong_lag_future_spread,open_interest_like,single,7,4,3.44798391551792,-0.0011423169271405
same_family_placebo_spread,liquidity_like,single,6,6,1.0006655465066376,-0.0013196742886453
symbol_shuffle_spread,open_interest_like|positioning_like,delta_x_divergence,5,4,1.817602560899998,-0.0005864967378959
wrong_lag_stale_spread,liquidity_like,single,5,4,0.9808804937654516,-0.0012360276805833
wrong_lag_stale_spread,taker_flow_like|basis_premium_like,gated_sign,4,4,1.0616879092468563,-0.0007859172040693
symbol_shuffle_spread,liquidity_like|volatility_like,liquidity_shock,3,3,2.510756167646448,-0.0010273410141213
time_shuffle_spread,liquidity_like,single,3,3,1.6492055721872914,-0.0012144230231013
time_shuffle_spread,open_interest_like,single,2,2,100.4539916035944,-0.0009840780298138
wrong_lag_stale_spread,open_interest_like,single,2,2,4.648491266957087,-0.0012515130554988
symbol_shuffle_spread,liquidity_like,single,1,1,2.067760926340918,-0.0011641577592954
same_family_placebo_spread,open_interest_like,single,1,1,11.392193339705791,-0.0011442411739834
