decision,label_family,count
A7FF42_NUMERIC_CLUE,L0_raw_forward_return,64
A7FF42_NUMERIC_CLUE,L1_cross_sectional_relative_return,62
A7FF42_NUMERIC_CLUE,L3_liquidity_tier_relative_return,76
A7FF42_NUMERIC_CLUE,L5_vol_adjusted_return,50
A7FF42_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,238
HOLD_A7FF42_CONTROL_DOMINATED,L0_raw_forward_return,373
HOLD_A7FF42_CONTROL_DOMINATED,L1_cross_sectional_relative_return,370
HOLD_A7FF42_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,371
HOLD_A7FF42_CONTROL_DOMINATED,L5_vol_adjusted_return,415
HOLD_A7FF42_CONTROL_DOMINATED,L7_ranked_future_return,491
HOLD_A7FF42_COST2_PROXY_FRAGILE,L0_raw_forward_return,4
HOLD_A7FF42_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,5
HOLD_A7FF42_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,4
HOLD_A7FF42_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,18
HOLD_A7FF42_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,22
HOLD_A7FF42_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,25
HOLD_A7FF42_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,61
HOLD_A7FF42_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,102
HOLD_A7FF42_PRE_MAY_UNSTABLE,L0_raw_forward_return,873
HOLD_A7FF42_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,873
HOLD_A7FF42_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,856
HOLD_A7FF42_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,806
HOLD_A7FF42_PRE_MAY_UNSTABLE,L7_ranked_future_return,501
