label_family,label_horizon_h,clue_rows,unique_blueprints,median_control_ratio,median_cost2,median_cost5,median_cost10
L0_raw_forward_return,1,68,68,0.41645065142225113,0.0006983706866710499,9.837068667106968e-05,-0.00090162931332885
L0_raw_forward_return,4,20,20,0.7635230345576342,0.00245371898206255,0.00185371898206255,0.00085371898206255
L0_raw_forward_return,8,4,4,0.8188064598289642,0.00091797546751785,0.00031797546751785,-0.00068202453248205
L1_cross_sectional_relative_return,1,67,67,0.3689462491799654,0.0007029199226261,0.0001029199226261,-0.0008970800773738
L1_cross_sectional_relative_return,4,25,25,0.7635230345576339,0.0024525688925773,0.0018525688925773,0.0008525688925773
L1_cross_sectional_relative_return,8,5,5,0.9743201291985828,0.0007314919526074,0.0001314919526074,-0.0008685080473925
L3_liquidity_tier_relative_return,1,69,69,0.4147054895881787,0.0007308580533897,0.0001308580533897,-0.0008691419466102
L3_liquidity_tier_relative_return,4,20,20,0.9179798861457156,0.0023871008495418497,0.0017871008495418499,0.0007871008495418501
L3_liquidity_tier_relative_return,8,2,2,0.81374049940408,0.0006670881064944,6.7088106494457e-05,-0.0009329118935055
L5_vol_adjusted_return,1,68,68,0.31760192372001017,0.12475993853462936,0.12415993853462935,0.12315993853462935
L5_vol_adjusted_return,4,31,31,0.6643891366102253,0.2730781257703649,0.2724781257703649,0.2714781257703649
L5_vol_adjusted_return,8,23,23,0.6407648957507182,0.3856807138308765,0.3850807138308765,0.3840807138308765
