symbol,rows,timestamp_min,timestamp_max,expected_hours_between_min_max,missing_hour_count_between_min_max,duplicate_timestamp_count,okx_mark_non_null_rate,okx_index_non_null_rate,okx_funding_non_null_rate,binance_funding_non_null_rate
AEVOUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
AGLDUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
ALGOUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
ANIMEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.970873786407767,0.24271844660194175
APEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
API3USDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
APRUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
APTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.9320388349514563,0.11650485436893204
ARBUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.9320388349514563,0.11650485436893204
ARKMUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
ASTERUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.970873786407767,0.24271844660194175
ATHUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.970873786407767,0.24271844660194175
ATOMUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.9320388349514563,0.11650485436893204
AVAXUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.9320388349514563,0.11650485436893204
AVNTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
AXSUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BABYUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BANDUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
BARDUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BATUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
BCHUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.9320388349514563,0.11650485436893204
BEATUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BICOUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
BIGTIMEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BIOUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BLURUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BNBUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
BOMEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BRETTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
BTCUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
CCUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
CFXUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.9320388349514563,0.11650485436893204
CHZUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
COAIUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
COMPUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
CRVUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
CVXUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
DASHUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.11650485436893204
DOGEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
DOODUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
DOTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
DYDXUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
EDENUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
EGLDUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
EIGENUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
ENAUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
ENJUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
ENSUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
ETCUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
ETHFIUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
ETHUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
ETHWUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
FARTCOINUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
FILUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
FLOWUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
FOGOUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
FUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
GALAUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
GASUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
GIGGLEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
GLMUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
GMXUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
GPSUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
GRASSUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
GRTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.9320388349514563,0.11650485436893204
HBARUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
HMSTRUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.970873786407767,0.24271844660194175
HOMEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
HUMAUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
HUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
HYPEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.9320388349514563,0.24271844660194175
ICXUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.970873786407767,0.24271844660194175
IMXUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
INITUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
INJUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
IOSTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
IOTAUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
IPUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
JELLYJELLYUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
JTOUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
JUPUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
KAITOUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
KGENUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
KITEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
KMNOUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
KSMUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
LABUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
LAUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
LAYERUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
LIGHTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.970873786407767,0.24271844660194175
LINEAUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
LINKUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
LITUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
LPTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
LQTYUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.9320388349514563,0.11650485436893204
LTCUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
MAGICUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
MANAUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
MASKUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,0.9805825242718447,0.9320388349514563,0.24271844660194175
MEMEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
MERLUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
METISUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
METUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.24509803921568626
MEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
MEWUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
MINAUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.11764705882352941
MMTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
MONUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
MOODENGUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
MORPHOUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
MOVEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.24509803921568626
MUBARAKUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
NEARUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
NEIROUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
NEOUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
NIGHTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
NMRUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
NOTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
ONDOUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
ONEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
ONTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
OPUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,0.9901960784313726,1.0,0.9411764705882353,0.11764705882352941
ORDERUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
PARTIUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
PENDLEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.11764705882352941
PENGUUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
PEOPLEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
PIEVERSEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.24509803921568626
PIPPINUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,0.9901960784313726,1.0,0.9803921568627451,0.24509803921568626
PLUMEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
PNUTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
POLUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
POPCATUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
PROVEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
PUMPUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
PYTHUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
QTUMUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.11764705882352941
RECALLUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
RENDERUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
RESOLVUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
RIVERUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
RSRUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
SAHARAUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SANDUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
SAPIENUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SEIUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.11764705882352941
SENTUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,0.9901960784313726,1.0,0.9803921568627451,0.24509803921568626
SHELLUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SIGNUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SKYUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SOLUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
SOONUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SOPHUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SPACEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SPKUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.24509803921568626
SPXUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9803921568627451,0.24509803921568626
SSVUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,0.9901960784313726,0.9411764705882353,0.11764705882352941
STABLEUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
STRKUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
STXUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
SUIUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
SUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
SUSHIUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
SYRUPUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
TAOUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.24509803921568626
THETAUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9411764705882353,0.11764705882352941
TONUSDT,102,2026-04-26 18:00:00+00:00,2026-04-30 23:00:00+00:00,102,0,0,1.0,1.0,0.9803921568627451,0.24509803921568626
