symbol,rows,timestamp_min,timestamp_max,expected_hours_between_min_max,missing_hour_count_between_min_max,duplicate_timestamp_count,okx_mark_non_null_rate,okx_index_non_null_rate,okx_funding_non_null_rate,binance_funding_non_null_rate
0GUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.970873786407767,0.24271844660194175
1000BONKUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.24271844660194175
1000FLOKIUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
1000PEPEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
1000SHIBUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
1INCHUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
2ZUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
AAVEUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.9320388349514563,0.11650485436893204
ACHUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,0.9805825242718447,1.0,0.970873786407767,0.11650485436893204
ACTUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
ACUUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.970873786407767,0.24271844660194175
ADAUSDT,103,2026-04-26 17:00:00+00:00,2026-04-30 23:00:00+00:00,103,0,0,1.0,1.0,0.9320388349514563,0.11650485436893204
