access_id,epoch_id,selected_start_utc,selected_end_utc,classification,accessor_stage,access_purpose,decision_impact,candidate_feedback_allowed_after_evalreset,evidence_status
eval-access-001,train_2024,2024-01-01T00:00:00Z,2024-12-31T23:00:00Z,DISCOVERY_TRAIN,strict_reward,historical_decision_reconstruction,discovery_fit_or_review,True,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-002,train_2024,2024-01-01T00:00:00Z,2024-12-31T23:00:00Z,DISCOVERY_TRAIN,human_review,historical_decision_reconstruction,discovery_fit_or_review,True,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-003,validation_2025H1,2025-06-01T00:00:00Z,2025-06-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,proxy,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-004,validation_2025H1,2025-06-01T00:00:00Z,2025-06-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,strict_reward,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-005,validation_2025H1,2025-06-01T00:00:00Z,2025-06-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,incremental_admission,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-006,validation_2025H1,2025-06-01T00:00:00Z,2025-06-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,memory,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-007,validation_2025H1,2025-06-01T00:00:00Z,2025-06-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,scheduler,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-008,validation_2025H1,2025-06-01T00:00:00Z,2025-06-30T23:00:00Z,SPENT_HISTORICAL_EVALUATION,human_review,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-009,test_2025H2,2025-12-02T00:00:00Z,2025-12-31T23:00:00Z,SPENT_HISTORICAL_EVALUATION,proxy,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
eval-access-010,test_2025H2,2025-12-02T00:00:00Z,2025-12-31T23:00:00Z,SPENT_HISTORICAL_EVALUATION,strict_reward,historical_decision_reconstruction,candidate_feedback_or_human_decision,False,CONFIRMED_CODE_OR_RELEASE_DEPENDENCY
