candidate_id,cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_fields,source_field_families,expression,expr_hash,horizon,object_type,signal_mode,static_score,may_used_for_generation,may_used_for_static_score,selection_status,execution_lag_1bar_raw_10bp__fresh_forward_2026May,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr,execution_lag_1bar_raw_10bp__validation_2025H1,raw_10bp__fresh_forward_2026May,raw_10bp__recent_oos_2025H2_2026Apr,raw_10bp__validation_2025H1,raw_20bp__fresh_forward_2026May,raw_20bp__recent_oos_2025H2_2026Apr,raw_20bp__validation_2025H1,residual_vs_core4_10bp__fresh_forward_2026May,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr,residual_vs_core4_10bp__validation_2025H1,residual_vs_funding_10bp__fresh_forward_2026May,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr,residual_vs_funding_10bp__validation_2025H1,min_fold_component,positive_fold_rate,mean_turnover,mean_gross_exposure,pilot_rank_score,candidate_decision,reject_reasons,deep_audit_status,return_corr_cluster
a7o_l1_C0000_1939,C0000,1939,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,lag_stable,F7_trend_reversal,ret_6,price,"RegimeMaskNonMay(F7_trend_reversal,Decay(ResidualizeVsFundingCore(RollingMin(RollingMax(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,72)),ZScore(TSMean(ret_6,24)))),48),84)),60))",88a87a49cef1f16f,72,generated_candidate,original,0.21610000000000001,False,False,selected_for_strict_replay,0.0,2.0274995149090937,1.7614999597203098,0.0,2.0914231772499225,1.4461863575874168,0.0,1.8305726476068904,1.2066272150293933,0.0,2.0914231772499225,1.4461863575874168,0.0,2.0914231772499225,1.4461863575874168,-0.5065120418246777,0.9230769230769231,0.031176371047710833,0.18362927465257906,0.4087707884903177,A7O_PILOT_RESEARCH_CANDIDATE,,selected_for_deep_audit,rc_000
a7o_l1_C0000_0678,C0000,678,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,lag_stable,F7_trend_reversal,ret_12;ret_24,price,"RegimeMaskNonMay(F7_trend_reversal,Decay(ResidualizeVsFundingCore(RollingMin(Add(ResidualizeVsCore4(Mul(Rank(TSMean(ret_24,24)),ZScore(TSMean(ret_12,36)))),Rank(TSMean(ret_12,12))),60)),30))",f8e6ef577240805d,48,generated_candidate,original,0.21610000000000001,False,False,selected_for_strict_replay,0.0,0.8924424891605119,0.3345474042111865,0.0,0.8177950078272865,0.30701628498493616,0.0,0.540692140218814,0.030201367332802622,0.0,0.8177950078272865,0.30701628498493616,0.0,0.8177950078272865,0.30701628498493616,-1.0128683912834178,0.7538461538461538,0.03423954197100633,0.19205191790458365,-0.26758212293001554,A7O_PILOT_RESEARCH_CANDIDATE,,selected_for_deep_audit,rc_001
a7o_l1_C0000_0775,C0000,775,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,lag_stable,F7_trend_reversal,ret_24;ret_6,price,"RegimeMaskNonMay(F7_trend_reversal,Decay(ResidualizeVsFundingCore(SafeDiv(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,3)),ZScore(TSMean(ret_24,8)))),Clip(Abs(ZScore(TSStd(ret_24,10))),0.05,6.0))),24))",824f8efbbfe436ba,6,generated_candidate,original,0.21610000000000001,False,False,selected_for_strict_replay,0.0,-0.17181231953274853,-0.0523846962262046,0.0,-0.27823241703751217,-0.02765676445451402,0.0,-0.6081827481633401,-0.3588415875457618,0.0,-0.27823241703751217,-0.02765676445451402,0.0,-0.27823241703751217,-0.02765676445451402,-1.4240526612696218,0.15384615384615385,0.04100069986246179,0.19926990970320063,-1.2804566823890835,A7O_PILOT_REJECTED,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;lag1_recent_nonpositive;residual_funding_recent_nonpositive,selected_for_deep_audit,rc_002
a7o_l1_C0001_0484,C0001,484,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,medium_turnover,F7_trend_reversal,ret_24;ret_3,price,"TSMean(Clip(Clip(ResidualizeVsFundingCore(cross_symbol_rank(SafeDiv(Sub(Mul(ZScore(TSMean(ret_24,36)),Rank(TSMean(ret_3,48))),Rank(TSMean(ret_24,36))),Clip(Abs(TSRank(ret_3,72)),0.05,2.25)))),-4.0,4.0),-3.0,3.0),20)",2c032985777309b6,24,generated_candidate,original,0.20170000000000002,False,False,selected_for_strict_replay,-13.051156317648617,0.5301945823595268,1.8298410468223187,-12.708896022127693,0.587627006800961,1.8914844801475001,-12.942285445204613,0.3657340612167347,1.6787950793247597,-9.898958968531547,3.3290035188335074,4.622797418925904,-9.796416621578027,3.338927117969255,4.586352345626057,-0.4217112050587997,0.9076923076923077,0.02482085047422208,0.4849607812090184,0.47977589001495247,A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_severe_fail;may_residual_funding_negative,selected_for_deep_audit,rc_003
a7o_l1_C0001_1357,C0001,1357,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,medium_turnover,F7_trend_reversal,ret_24;ret_6,price,"TSMean(Clip(Clip(ResidualizeVsFundingCore(cross_symbol_rank(Mul(ZScore(TSMean(ret_24,8)),Mul(ZScore(TSMean(ret_24,48)),Rank(TSMean(ret_6,6)))))),-4.0,4.0),-3.0,3.0),20)",0f3789e731405686,24,generated_candidate,original,0.20170000000000002,False,False,selected_for_strict_replay,-7.24507828301692,0.5355410594292088,2.1896643990383895,-7.181377408289883,0.5406099263156273,2.290338259797526,-7.414766831366806,0.2685746324642129,2.049874833453666,-5.680201407020519,1.9279033646704866,3.6609155887383937,-5.7460856895126255,1.9394616227324886,3.676431541019272,-1.0480908960749196,0.9538461538461539,0.02942705366521075,0.47776908515724903,-0.10160150564506835,A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_severe_fail;may_residual_funding_negative,selected_for_deep_audit,rc_004
a7o_l1_C0001_0193,C0001,193,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,medium_turnover,F7_trend_reversal,ret_3;ret_6,price,"TSMean(Clip(Clip(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Mul(ZScore(TSMean(ret_3,8)),Rank(TSMean(ret_6,10))),36)))),-4.0,4.0),-3.0,3.0),30)",f421e29154fefb4f,24,generated_candidate,original,0.20170000000000002,False,False,selected_for_strict_replay,-9.55586841763116,2.049277935979891,5.997624961200375,-9.896790914161679,2.0787897712876546,5.802949276822452,-10.031911106469371,1.9393685568851131,5.679030303505013,-7.303040923930665,4.578006463618808,8.288290017379094,-7.060294705567934,4.593802862253586,8.205404393691913,-2.0,0.9384615384615385,0.015272424818358195,0.4652882134196281,-1.065356567743051,A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_severe_fail;may_residual_funding_negative,selected_for_deep_audit,rc_005
a7o_l1_C0002_1550,C0002,1550,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F6_cross_symbol_dispersion,realized_vol_24;ret_24,price;volatility,"SafeDiv(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Mul(Rank(TSMean(realized_vol_24,10)),Mul(TSRank(ret_24,12),ZScore(TSMean(realized_vol_24,20))))))),48),Clip(Abs(TSMean(realized_vol_24,72)),0.05,4.0))",ae57b8c46369e68f,12,generated_candidate,original,0.2762,False,False,selected_for_strict_replay,-3.9261675691835722,0.7415906185250807,2.1751286626580177,-3.5333450210717614,0.8284274477463173,2.0979312203250835,-3.643897905687148,0.7181418517198274,2.0119585777333024,-1.0462399950420882,2.7485768975304152,3.9348608056905285,-0.5517152380646676,2.8232695459799713,3.747278278318296,-0.04271274285799632,0.9692307692307692,0.011451988783216628,0.4941780003976211,0.9236550291769687,A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_severe_fail;may_residual_funding_negative,selected_for_deep_audit,rc_006
a7o_l1_C0002_1356,C0002,1356,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F6_cross_symbol_dispersion,realized_vol_24;ret_6,price;volatility,"SafeDiv(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Neg(Clip(Mul(TSRank(ret_6,16),ZScore(TSMean(realized_vol_24,24))),-1.5,1.5))))),20),Clip(Abs(TSMean(realized_vol_24,3)),0.05,4.0))",f2072748477226d8,12,generated_candidate,original,0.2762,False,False,selected_for_strict_replay,-2.482591054831405,1.69393535630642,2.0951140151128853,-2.504631839503962,1.641330177200719,1.9871220712655917,-2.669583762580884,1.4985128482823964,1.8611792727092604,0.41186414496514573,4.15161689399501,4.43778386928696,1.06726742183189,4.2114103889092815,4.206444447012622,-0.23762561235344676,0.9538461538461539,0.0156541994912293,0.49095560932577925,0.7123069916198999,A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_severe_fail,selected_for_deep_audit,rc_006
a7o_l1_C0002_0967,C0002,967,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F6_cross_symbol_dispersion,realized_vol_6;ret_12,price;volatility,"SafeDiv(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(SafeDiv(Mul(TSRank(ret_12,4),ZScore(TSMean(realized_vol_6,8))),Clip(Abs(ZScore(TSStd(realized_vol_6,10))),0.05,3.5))))),24),Clip(Abs(TSMean(realized_vol_6,48)),0.05,4.0))",54ffb7763441db82,12,generated_candidate,original,0.2752,False,False,selected_for_strict_replay,-3.80219273067999,1.2196290677570356,1.0826830128885283,-3.8778388346885473,1.2994182894703368,1.0694094019995763,-4.116492680842394,1.0412794925608444,0.833968992140829,-2.1708579621581334,2.65815328257908,2.377027559708727,-1.669309161914856,2.7081566201078173,2.198124029261846,-0.26331190698914747,0.9230769230769231,0.0286512150987037,0.48832274346908844,0.6526022123130998,A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_severe_fail;may_residual_funding_negative,selected_for_deep_audit,rc_007
a7o_l1_C0003_0774,C0003,774,H13_symbol_tier_relative,P11_volatility_basis,Rank,spread_6_vs_24,same_symbol_zscore,Core4,low_turnover,F11_cross_symbol_crowding,mark_index_ratio;realized_vol_24,basis;volatility,"CrossSymbolZScore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(realized_vol_24,36)),Rank(TSStd(realized_vol_24,24)))),16))",f5c21ca6d1456712,72,generated_candidate,original,0.2772,False,False,selected_for_strict_replay,-16.258723496603732,4.980945548719475,7.294517903445704,-16.56517289327827,4.86719708206959,7.364835905694916,-16.653595533056635,4.742835443715917,7.287243877883063,-11.571052689551117,9.476137069658343,11.917237697511693,-11.24075863693053,9.526763625128583,11.791625336715665,2.0,1.0,0.012165689009175399,0.3278463808546624,2.9969585777477064,A7O_PILOT_MAY_VETOED_NEAR_MISS,may_stress_severe_fail;may_residual_funding_negative,selected_for_deep_audit,rc_008
