scope,family,count,share,cap,cap_pass
generated_pool,basis_premium_clean,250,0.25,0.25,True
generated_pool,flow_liquidity_clean,250,0.25,0.25,True
generated_pool,microstructure_lite_latency_robust,250,0.25,0.25,True
generated_pool,placebo_random_control,250,0.25,0.25,True
K0_basis_premium_clean_field_family_combo,basis;liquidity,20,0.08,0.5,True
K0_basis_premium_clean_field_family_combo,basis;liquidity;price,36,0.144,0.5,True
K0_basis_premium_clean_field_family_combo,basis;liquidity;volatility,24,0.096,0.5,True
K0_basis_premium_clean_field_family_combo,basis;price,77,0.308,0.5,True
K0_basis_premium_clean_field_family_combo,basis;price;volatility,57,0.228,0.5,True
K0_basis_premium_clean_field_family_combo,basis;volatility,36,0.144,0.5,True
K1_flow_liquidity_clean_field_family_combo,basis;liquidity,40,0.16,0.5,True
K1_flow_liquidity_clean_field_family_combo,basis;liquidity;price,36,0.144,0.5,True
K1_flow_liquidity_clean_field_family_combo,basis;liquidity;volatility,34,0.136,0.5,True
K1_flow_liquidity_clean_field_family_combo,liquidity;price,50,0.2,0.5,True
K1_flow_liquidity_clean_field_family_combo,liquidity;price;volatility,40,0.16,0.5,True
K1_flow_liquidity_clean_field_family_combo,liquidity;volatility,50,0.2,0.5,True
K2_microstructure_lite_latency_robust_field_family_combo,basis;liquidity;volatility,31,0.124,0.5,True
K2_microstructure_lite_latency_robust_field_family_combo,basis;price;volatility,33,0.132,0.5,True
K2_microstructure_lite_latency_robust_field_family_combo,basis;volatility,24,0.096,0.5,True
K2_microstructure_lite_latency_robust_field_family_combo,liquidity;price;volatility,54,0.216,0.5,True
K2_microstructure_lite_latency_robust_field_family_combo,liquidity;volatility,54,0.216,0.5,True
K2_microstructure_lite_latency_robust_field_family_combo,price;volatility,54,0.216,0.5,True
K3_placebo_random_control_field_family_combo,basis,52,0.208,0.5,True
K3_placebo_random_control_field_family_combo,flow,50,0.2,0.5,True
K3_placebo_random_control_field_family_combo,liquidity,48,0.192,0.5,True
K3_placebo_random_control_field_family_combo,price,52,0.208,0.5,True
K3_placebo_random_control_field_family_combo,volatility,48,0.192,0.5,True
