symbol,status,fetch_source,fetch_error,event_rows,filled_rows,repair_window_missing_before,repair_window_missing_after,stress_raw_funding_finite_share,output_path
ARUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ARUSDT\part.parquet
ASTRUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ASTRUSDT\part.parquet
ATOMUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ATOMUSDT\part.parquet
AUCTIONUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=AUCTIONUSDT\part.parquet
AVAXUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=AVAXUSDT\part.parquet
AXSUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=AXSUSDT\part.parquet
BANDUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BANDUSDT\part.parquet
BATUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BATUSDT\part.parquet
BCHUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BCHUSDT\part.parquet
BEAMXUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BEAMXUSDT\part.parquet
BELUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BELUSDT\part.parquet
BICOUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BICOUSDT\part.parquet
BIGTIMEUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BIGTIMEUSDT\part.parquet
BLURUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BLURUSDT\part.parquet
BNBUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BNBUSDT\part.parquet
BNTUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BNTUSDT\part.parquet
BSVUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BSVUSDT\part.parquet
BTCUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=BTCUSDT\part.parquet
C98USDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=C98USDT\part.parquet
CAKEUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CAKEUSDT\part.parquet
CELOUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CELOUSDT\part.parquet
CELRUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CELRUSDT\part.parquet
CFXUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CFXUSDT\part.parquet
CHRUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CHRUSDT\part.parquet
CHZUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CHZUSDT\part.parquet
COMPUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=COMPUSDT\part.parquet
COTIUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=COTIUSDT\part.parquet
CRVUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CRVUSDT\part.parquet
CTSIUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CTSIUSDT\part.parquet
CYBERUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=CYBERUSDT\part.parquet
DASHUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=DASHUSDT\part.parquet
DODOXUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=DODOXUSDT\part.parquet
DOGEUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=DOGEUSDT\part.parquet
DOTUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=DOTUSDT\part.parquet
DUSKUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=DUSKUSDT\part.parquet
DYDXUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=DYDXUSDT\part.parquet
EDUUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=EDUUSDT\part.parquet
EGLDUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=EGLDUSDT\part.parquet
ENJUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ENJUSDT\part.parquet
ENSUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ENSUSDT\part.parquet
ETCUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ETCUSDT\part.parquet
ETHUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ETHUSDT\part.parquet
ETHWUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ETHWUSDT\part.parquet
FETUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=FETUSDT\part.parquet
FILUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=FILUSDT\part.parquet
FLOWUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=FLOWUSDT\part.parquet
GALAUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=GALAUSDT\part.parquet
GASUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=GASUSDT\part.parquet
GMTUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=GMTUSDT\part.parquet
GMXUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=GMXUSDT\part.parquet
GRTUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=GRTUSDT\part.parquet
GTCUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=GTCUSDT\part.parquet
HBARUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=HBARUSDT\part.parquet
HFTUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=HFTUSDT\part.parquet
HIGHUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=HIGHUSDT\part.parquet
HOTUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=HOTUSDT\part.parquet
ICPUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ICPUSDT\part.parquet
ICXUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ICXUSDT\part.parquet
IDUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=IDUSDT\part.parquet
ILVUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ILVUSDT\part.parquet
IMXUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=IMXUSDT\part.parquet
INJUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=INJUSDT\part.parquet
IOSTUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=IOSTUSDT\part.parquet
IOTAUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=IOTAUSDT\part.parquet
IOTXUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=IOTXUSDT\part.parquet
JASMYUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=JASMYUSDT\part.parquet
JOEUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=JOEUSDT\part.parquet
JTOUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=JTOUSDT\part.parquet
JUPUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=JUPUSDT\part.parquet
KASUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=KASUSDT\part.parquet
KAVAUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=KAVAUSDT\part.parquet
