symbol,status,fetch_source,fetch_error,event_rows,filled_rows,repair_window_missing_before,repair_window_missing_after,stress_raw_funding_finite_share,output_path
1000BONKUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1000BONKUSDT\part.parquet
1000FLOKIUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1000FLOKIUSDT\part.parquet
1000LUNCUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1000LUNCUSDT\part.parquet
1000PEPEUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1000PEPEUSDT\part.parquet
1000RATSUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1000RATSUSDT\part.parquet
1000SATSUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1000SATSUSDT\part.parquet
1000SHIBUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1000SHIBUSDT\part.parquet
1000XECUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1000XECUSDT\part.parquet
1INCHUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=1INCHUSDT\part.parquet
AAVEUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=AAVEUSDT\part.parquet
ACEUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ACEUSDT\part.parquet
ACHUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ACHUSDT\part.parquet
ADAUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ADAUSDT\part.parquet
AGLDUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=AGLDUSDT\part.parquet
ALGOUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ALGOUSDT\part.parquet
ALICEUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ALICEUSDT\part.parquet
ALTUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ALTUSDT\part.parquet
ANKRUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ANKRUSDT\part.parquet
APEUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=APEUSDT\part.parquet
API3USDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=API3USDT\part.parquet
APTUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=APTUSDT\part.parquet
ARBUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ARBUSDT\part.parquet
ARKMUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ARKMUSDT\part.parquet
ARKUSDT,ok,binance_vision_monthly_fundingRate,,157,151,619,468,0.2512479201331115,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ARKUSDT\part.parquet
ARPAUSDT,ok,binance_vision_monthly_fundingRate,,79,76,622,546,0.1264559068219634,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v2_may_funding_repair_v1_20260704\symbol=ARPAUSDT\part.parquet
