field,level,required
candidate_id,key,True
dataset,key,True
family_id,key,True
cluster_key,key,True
timestamp,key,True
symbol,key,True
split,key,True
quote_volume,liquidity,True
candidate_score_original,control_vector,True
candidate_score_stale,control_vector,True
candidate_score_sign_flip,control_vector,True
candidate_score_shuffle_time,control_vector,True
candidate_score_shuffle_symbol,control_vector,True
residual_score_stale_orthogonal,orthogonal_score,True
residual_score_null_orthogonal,orthogonal_score,True
selected_score_variant,policy,True
book_rank,book_input,True
book_side,book_input,True
book_weight,book_input,True
control_margin_metadata,diagnostic,True
