shard_id,decision,materialized_activity_ok_count,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count
a7ls30_num_s000,PASS_A7LS30a7ls30_num_s000_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,1233,431,275,22
a7ls30_num_s001,PASS_A7LS30a7ls30_num_s001_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,1066,306,374,24
a7ls30_num_s002,PASS_A7LS30a7ls30_num_s002_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,1157,430,422,24
a7ls30_num_s003,PASS_A7LS30a7ls30_num_s003_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,331,112,181,24
a7ls30_num_s004,PASS_A7LS30a7ls30_num_s004_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,633,28,287,24
a7ls30_num_s005,PASS_A7LS30a7ls30_num_s005_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,583,70,291,24
a7ls30_num_s006,PASS_A7LS30a7ls30_num_s006_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,746,4,326,24
a7ls30_num_s007,PASS_A7LS30a7ls30_num_s007_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,698,17,308,24
a7ls30_num_s008,PASS_A7LS30a7ls30_num_s008_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,556,205,240,24
a7ls30_num_s009,PASS_A7LS30a7ls30_num_s009_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,374,271,213,24
a7ls30_num_s010,PASS_A7LS30a7ls30_num_s010_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,506,1081,628,289,33
a7ls30_num_s011,PASS_A7LS30a7ls30_num_s011_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,507,944,766,357,34
a7ls30_num_s012,PASS_A7LS30a7ls30_num_s012_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,565,42,223,24
a7ls30_num_s013,PASS_A7LS30a7ls30_num_s013_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,520,178,233,24
a7ls30_num_s014,PASS_A7LS30a7ls30_num_s014_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,727,261,302,48
a7ls30_num_s015,PASS_A7LS30a7ls30_num_s015_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,512,645,187,265,24
