component,priority,role,cn_path,cn_exists,cn_sha16,crypto_reference_path,crypto_reference_exists,crypto_reference_sha16,crypto_executable_adapter_status,inheritance_action
formula_gen_v2_sampler,P0,role-based motif formula generation and repair expansion,src/our_system_phase2/formula_gen_v2/sampler.py,yes,8f4fd9e62ab9ce60,cn_reference/formula_gen_v2/sampler.py,yes,8f4fd9e62ab9ce60,missing_or_dry_only,port into crypto namespace with crypto field/operator adapter
typed_ast_and_macros,P0,"AST parsing, structural hashing, windows, operators, formula candidate metadata",src/our_system_phase2/formula_gen_v2/typed_ast.py,yes,ff5ced707ad8100a,cn_reference/formula_gen_v2/typed_ast.py,yes,ff5ced707ad8100a,missing_or_dry_only,port with crypto-safe operator registry and timing checks
freeform_and_ablation_sampler,P1,freeform AST exploration and paired ablation patterns,src/our_system_phase2/formula_gen_v2/freeform_sampler.py,yes,339721b1844687a5,cn_reference/formula_gen_v2/freeform_sampler.py,yes,339721b1844687a5,missing_or_dry_only,port after FormulaGenV2 adapter parity
motif_packs,P0,"role templates, motif families, windows, constraints",src/our_system_phase2/formula_gen_v2/motif_pack_core.yaml,yes,94761c697996a89a,cn_reference/formula_gen_v2/motif_pack_core.yaml,yes,94761c697996a89a,missing_or_dry_only,translate motif structure only; replace all CN stock fields
feature_algebra,P0,formula evaluation semantics and feature composition,src/our_system_phase2/services/feature_algebra.py,yes,d4cb93e6101831af,,no,,missing_or_dry_only,port minimal crypto operator evaluator before formula search
variation_and_fingerprint,P0,"canonicalization, skeleton extraction, complexity, duplicate control",src/our_system_phase2/services/variation.py,yes,3cec7c89f6da1afa,,no,,missing_or_dry_only,port for crypto formula dedup and memory keys
search_memory_schema,P0,"expression/skeleton memory, production keys, reward proxy schema",src/our_system_phase2/services/search_memory.py,yes,e7a50ecb046612b4,,no,,missing_or_dry_only,inherit schema only; initialize blank crypto memory
ledger_policy_and_bandit,P1,"search control policy, motif/operator allowlists, bandit state",src/our_system_phase2/services/stock_pit_ledger_policy.py,yes,21ab2d10e64b417e,,no,,missing_or_dry_only,port policy mechanics; replace motif allowlists with crypto taxonomy
replay_ranker,P1,"pre-replay feature matrix, leakage guard, ranker calibration",src/our_system_phase2/services/stock_pit_replay_ranker.py,yes,fe4f686365ef0445,,no,,missing_or_dry_only,port only pre-replay matrix logic; replace target labels
selector_stack,P2,"candidate selection, diversity, cluster and book-aware scoring",src/our_system_phase2/services/phase3e_selectors.py,yes,6e570ad77096eaf6,,no,,missing_or_dry_only,port after A7AL-1 baseline establishes field-family signal
vector_selector,P2,vectorized selector and turnover/guard variants,src/our_system_phase2/services/phase3g_vector_selector.py,yes,1bb2a2893e6f866a,,no,,missing_or_dry_only,port after selector stack parity
real_market_validation,P1,"strict panel expression validation, audit, tradability checks",src/our_system_phase2/services/real_market_validation.py,yes,a25ba31d41b27779,,no,,missing_or_dry_only,"adapt as crypto strict replay parity target, not direct run"
proof_suite,P3,proof-stage reporting and locked validation suite,src/our_system_phase2/services/stock_pit_proof_suite.py,yes,55cab3cad521503f,,no,,missing_or_dry_only,defer until crypto research candidate pool exists
large_search_supervisor_worker,P2,multi-worker large search orchestration,src/our_system_phase2/runtime/stock_pit_large_search_supervisor.py,yes,a57ec237e8e0614d,,no,,missing_or_dry_only,port after generator/ranker parity and fresh crypto memory
runtime_state_registry,P3,locked runtime state registry and forward state discipline,src/our_system_phase2/services/runtime_state_registry.py,yes,dfa6db1d67e7f243,,no,,missing_or_dry_only,"port schema after alpha candidate freeze, not before"
