field_name,field_family,source_family,feature_class,allowed_for_search,allowed_for_label
trade_return_1h,price_return,derived_replay_base,derived_rolling,True,False
trade_return_24h,price_return,trade_ohlcv,derived_rolling,True,False
realized_vol_24h,volatility,trade_ohlcv,derived_rolling,True,False
realized_vol_168h,volatility,trade_ohlcv,derived_rolling,True,False
trade_quote_volume,liquidity,trade_ohlcv,raw_source,True,False
trade_count,liquidity,trade_ohlcv,raw_source,True,False
liquidity_rank_active_universe,liquidity,trade_ohlcv,derived_cross_section,True,False
kline_taker_buy_quote_share,taker_flow,trade_ohlcv,raw_source,True,False
taker_buy_sell_volume_ratio_last,taker_flow,metrics_positioning,raw_source,True,False
funding_rate,funding,funding,raw_source,True,False
funding_rate_abs_168h,funding,funding,derived_rolling,True,False
funding_rate_mean_168h,funding,funding,derived_rolling,True,False
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,True,False
mark_index_basis_bps,basis_premium,mark_index_premium,raw_source,True,False
mark_trade_basis_bps,basis_premium,mark_index_premium,raw_source,True,False
basis_abs_168h,basis_premium,mark_index_premium,derived_rolling,True,False
premium_abs_168h,basis_premium,mark_index_premium,derived_rolling,True,False
open_interest_last,open_interest,metrics_positioning,raw_source,True,False
open_interest_value_last,open_interest,metrics_positioning,raw_source,True,False
open_interest_change_24h,open_interest,metrics_positioning,derived_rolling,True,False
oi_x_price_move_24h,open_interest_interaction,"metrics_positioning,trade_ohlcv",derived_interaction,True,False
global_long_short_account_ratio_last,positioning,metrics_positioning,raw_source,True,False
top_long_short_account_ratio_last,positioning,metrics_positioning,raw_source,True,False
top_long_short_position_ratio_last,positioning,metrics_positioning,raw_source,True,False
age_percentile_active_universe,listing_age,metadata_listing,derived_cross_section,True,False
log1p_listing_age_days,listing_age,metadata_listing,derived_latent_state,True,False
age_x_liquidity,listing_age_interaction,"metadata_listing,trade_ohlcv",derived_interaction,True,False
age_x_volatility,listing_age_interaction,"metadata_listing,trade_ohlcv",derived_interaction,True,False
volume_volatility_ratio_168h,liquidity_volatility,trade_ohlcv,derived_interaction,True,False
rolling_coverage_168h,coverage,metadata_timing,derived_rolling,False,False
gap_hours_recent_168h,coverage,metadata_timing,derived_rolling,False,False
median_quote_volume_168h,liquidity,trade_ohlcv,derived_rolling,True,False
