component_id,layer,status,verified_path,source_path,evidence,known_gap,decision
data_pre2024_backfill_acceptance,data,PROVISIONAL_PASS,verified_core_crypto_20260618/data/crypto_a7data_pre2024_backfill_acceptance_and_age.py,scripts/crypto_a7data_pre2024_backfill_acceptance_and_age.py,reports/CRYPTO_A7DATA_PRE2024_BACKFILL_ACCEPTANCE_AGE_20260612.md,source checksum and final trace still need production-grade audit,usable for controlled research panels
data_recent_patch_merged_panel,data,PROVISIONAL_PASS,verified_core_crypto_20260618/data/crypto_a7data_recent_patch_merged_panel_builder.py,scripts/crypto_a7data_recent_patch_merged_panel_builder.py,reports/CRYPTO_A7DATA_RECENT_PATCH_MERGED_PANEL_20260613.md,fast trace accepted but final source checksum audit remains,usable for controlled V3 patch experiments
leakage_chain_guard,governance,PROVISIONAL_PASS,verified_core_crypto_20260618/governance/crypto_a7guard0_leakage_chain_audit.py,scripts/crypto_a7guard0_leakage_chain_audit.py,reports/CRYPTO_A7GUARD0_LEAKAGE_CHAIN_AUDIT_20260612.md;reports/CRYPTO_A7GUARD0_PRESEARCH_V3_20260613.md,static scan plus reward gate checks are not a full dynamic PIT proof,must run before search handoff
source_of_truth_registry,governance,PASS,verified_core_crypto_20260618/governance/crypto_a7pm0_source_of_truth_registry.py,scripts/crypto_a7pm0_source_of_truth_registry.py,reports/CRYPTO_A7PM0_SOURCE_OF_TRUTH_REGISTRY_20260529.md,registry needs refresh after A7FAST2/A7FAST3,usable governance base
asset_taxonomy,governance,PASS,verified_core_crypto_20260618/governance/crypto_a7pm1_asset_taxonomy.py,scripts/crypto_a7pm1_asset_taxonomy.py,reports/CRYPTO_A7PM1_ASSET_TAXONOMY_AND_MODULARIZATION_PLAN_20260529.md,plan not fully migrated into package modules,usable for migration classification
candidate_lifecycle,governance,PASS,verified_core_crypto_20260618/governance/crypto_a7pm2_candidate_lifecycle_state_machine.py,scripts/crypto_a7pm2_candidate_lifecycle_state_machine.py,reports/CRYPTO_A7PM2_CANDIDATE_LIFECYCLE_STATE_MACHINE_20260529.md,needs enforcement in launchers,usable as state contract
experiment_board,governance,PASS,verified_core_crypto_20260618/governance/crypto_a7pm3_current_experiment_board.py,scripts/crypto_a7pm3_current_experiment_board.py,reports/CRYPTO_A7PM3_CURRENT_EXPERIMENT_BOARD_20260529.md,stale relative to A7FAST2/A7FAST3,usable after refresh
feature_algebra,feature_formula,PROVISIONAL_PASS,verified_core_crypto_20260618/feature_formula/feature_algebra.py,alphafactory_crypto/engines/feature_algebra.py,reports/CRYPTO_A7AIF3_MATERIALIZATION_EVALUATOR_PARITY_20260529.md,operator coverage is finite and must be kept in parity matrix,core evaluator dependency
formula_gen_v2_adapter,feature_formula,PROVISIONAL_PASS,verified_core_crypto_20260618/feature_formula/formula_gen_v2_adapter.py,alphafactory_crypto/engines/formula_gen_v2_adapter.py,reports/CRYPTO_A7AIF2_END_TO_END_FIELD_ENFORCEMENT_REGRESSION_20260529.md,not sufficient as modern search engine by itself,usable only with field contract enforcement
search_memory,feature_formula,PROVISIONAL_PASS,verified_core_crypto_20260618/feature_formula/search_memory.py,alphafactory_crypto/engines/search_memory.py,reports/CRYPTO_A7FF_VERSION_20260530_A7FFR_TO_A7FF24R.md,light duplicate/skeleton memory not a full novelty model,usable as search-space hygiene
field_enforcement_regression,feature_formula,PASS,verified_core_crypto_20260618/feature_formula/crypto_a7aif2_field_enforcement_regression.py,scripts/crypto_a7aif2_field_enforcement_regression.py,reports/CRYPTO_A7AIF2_END_TO_END_FIELD_ENFORCEMENT_REGRESSION_20260529.md,historical pools still require reclassification on new stages,required before candidate promotion
