semantic_pair,operator,eligible_count,median_active_ratio,median_abs_stale_corr,median_abs_time_shuffle_corr,median_abs_symbol_shuffle_corr
basis_premium_like|liquidity_like,Delta,8,0.889278,0.7208943349165351,0.00032087848907245,1.6796863959701446e-06
basis_premium_like|volatility_like,Delta,8,0.8493839999999999,0.9144169654460297,0.0028046777005605,2.0431640579766e-06
basis_premium_like|basis_premium_like,Delta,8,0.8887075,0.7808883932859716,0.00100231976931245,2.167305735788498e-06
basis_premium_like|price_like,Delta,8,0.8891895000000001,0.19091516427624872,0.00764320284220135,9.185995746553589e-06
basis_premium_like|positioning_like,Identity,8,0.9963234999999999,0.8021205629614016,0.06833891068132394,2.765326584727187e-05
basis_premium_like|positioning_like,Delta,8,0.888341,0.08282795534130966,0.00893432900573595,9.006610584089405e-05
basis_premium_like|basis_premium_like,Identity,8,0.9879925,0.1797619302550219,0.0499948069769046,0.000144840021751
funding_like,Delta,8,0.4105065,0.9804411571860424,0.3655462312109839,0.00093068148815935
basis_premium_like|liquidity_like,Identity,8,0.9967345000000001,0.4211525125881064,0.21437577079792175,0.0013057938195885
basis_premium_like|volatility_like,Identity,8,0.9513075,0.8335811154422939,0.2278873573351228,0.00131437268506895
basis_premium_like,Delta,8,0.8897349999999999,0.7814608520005597,0.0732497332307667,0.0015388839547265999
basis_premium_like|price_like,Identity,8,0.9952975,0.03267857669799015,0.009762044509611548,0.00153988314573925
funding_like|funding_like,Identity,8,0.1183395,0.4468781568464488,0.2637185297981556,0.00413884129894115
basis_premium_like|positioning_like,CSRank,8,0.9973110000000001,0.6354527504171037,0.0159237707032696,0.024148641918234
funding_like|funding_like,CSRank,8,0.1184835,0.7628088410965191,0.22629014252323243,0.0356950767631882
basis_premium_like|basis_premium_like,CSRank,8,0.7916075,0.08955228496666334,0.02777357906055035,0.08079290753122739
basis_premium_like|liquidity_like,CSRank,8,0.997726,0.3104205033966775,0.10450934844635801,0.20109683595351505
basis_premium_like|volatility_like,CSRank,8,0.9521955,0.6528768622843981,0.20039978369933426,0.245996847842949
basis_premium_like|price_like,CSRank,8,0.9928845,0.01955890610022025,0.01008907625755545,0.29486212324505057
positioning_like|positioning_like,Delta,7,0.998082,9.171875815789862e-07,5.658828205682306e-07,8.215881009667292e-07
positioning_like|price_like,Delta,7,0.998015,1.9387226182293933e-06,1.239676758222808e-05,1.0154078908601629e-06
