semantic_pair,operator,eligible_count,median_active_ratio,median_abs_stale_corr,median_abs_time_shuffle_corr,median_abs_symbol_shuffle_corr
positioning_like|volatility_like,Delta,7,0.998229,1.3652838050549688e-05,4.707249423435891e-06,1.0653531099625262e-06
liquidity_like|positioning_like,Delta,7,0.998229,2.634200809811087e-05,1.2481114612899523e-05,4.5294373986893465e-06
state_or_taxonomy|volatility_like,Delta,7,0.151476,0.9297465680576604,0.0030463096669789,1.2403188808159575e-05
basis_premium_like|positioning_like,AbsDelta,7,0.996761,0.7231332235838213,0.040139998199694,7.00188039916064e-05
basis_premium_like|basis_premium_like,AbsDelta,7,0.991388,0.2452872599678907,0.0327001720263567,9.729229692568532e-05
liquidity_like|positioning_like,Identity,7,0.998179,0.016506181032049,0.0048025309974145,0.0001004841604496
basis_premium_like|state_or_taxonomy,AbsDelta,7,0.992679,0.0110699405536892,0.0048045443892683,0.0001108395961371
liquidity_like|volatility_like,Delta,7,0.952369,0.6499627053878277,0.0051167317781544,0.0001292263461675
positioning_like|volatility_like,Identity,7,0.99161,0.0286628251066865,0.0006808617572397,0.000157522005058
positioning_like|state_or_taxonomy,Delta,7,0.998168,0.0115824833206395,0.0090023788500101,0.0001590356886852
funding_like|liquidity_like,Delta,7,0.371287,0.6152724511640576,0.0094542984871109,0.0002019441075642
funding_like|price_like,Delta,7,0.371291,0.0775944144193781,0.0033921555463899,0.0002465426528674
basis_premium_like|volatility_like,AbsDelta,7,0.951044,0.7886627620062143,0.1846584743213473,0.0002571581421206
basis_premium_like|liquidity_like,AbsDelta,7,0.996989,0.4699564184530578,0.1425463150377372,0.0002782954248763
positioning_like|price_like,Identity,7,0.992058,0.0008930230588565,0.0008240715904877,0.000287570783394
basis_premium_like|price_like,AbsDelta,7,0.994732,0.0284122182864593,0.0094420705720272,0.0004148414765857
positioning_like|positioning_like,Identity,7,0.997904,0.0166362781466246,0.0082546420196432,0.0005556602990961
volatility_like|volatility_like,Delta,7,0.95237,0.8812779572259949,0.0043323944967146,0.0007338765685626
funding_like|state_or_taxonomy,Delta,7,0.37128,0.0771939494561207,0.0192623546780955,0.0007499817015512
price_like|volatility_like,Delta,7,0.952371,0.0739012885918245,0.0013204379205881,0.0009052219665187
liquidity_like|price_like,Delta,7,0.992334,0.0447995670018579,0.0036441601275995,0.0011814064601114
funding_like|positioning_like,Delta,7,0.371169,0.8915352262184293,0.0236793783647406,0.0012370462795458
funding_like,WinsorZ,7,0.195846,0.7083466221194116,0.2858298007083453,0.0012640180538156
liquidity_like|volatility_like,Identity,7,0.99875,0.4113708705256184,0.2046708621373542,0.0012645724782902
funding_like|volatility_like,Delta,7,0.371289,0.8924156836120775,0.0910861939438571,0.001305360391407
liquidity_like|price_like,Identity,7,0.998463,0.4521974586488309,0.2112796430252863,0.0013774391996068
basis_premium_like,AbsDelta,7,0.997509,0.9016123092303516,0.5510322714034361,0.0014207840998525
basis_premium_like|positioning_like,WinsorZ,7,0.996876,0.5276951393363281,0.0196255903485012,0.0014678144033867
funding_like|positioning_like,Identity,7,0.196303,0.3764351084199498,0.0140357051503362,0.0014878467845171
price_like|price_like,Identity,7,0.992342,0.0331549451125316,0.0101217707439438,0.001546549456478
state_or_taxonomy|state_or_taxonomy,Delta,7,0.124909,0.0224031231927499,0.0008552766550482,0.0015754058925225
generic_numeric|volatility_like,Identity,7,0.992068,0.657081976058929,0.0245490919051956,0.0015910609613933
basis_premium_like|state_or_taxonomy,WinsorZ,7,0.992711,0.0059921042515635,0.0035942136236259,0.001599962832444
price_like|volatility_like,Identity,7,0.991893,0.6958346513332689,0.0212545230631385,0.0016484857634817
funding_like|state_or_taxonomy,Identity,7,0.196361,0.0319761665166204,0.0158768712432213,0.0016853219052317
liquidity_like|state_or_taxonomy,Delta,7,0.998672,0.0281838301096016,0.0281270584460091,0.0018739283624283
funding_like|positioning_like,WinsorZ,7,0.194266,0.4480338332969709,0.015866025671992,0.0020452832963223
liquidity_like|state_or_taxonomy,Identity,7,0.950087,0.3950223520096619,0.1354751722024889,0.0025060351835477
funding_like|positioning_like,AbsDelta,7,0.105407,0.5865051801911784,0.0083425831356974,0.0027096056952084
basis_premium_like|basis_premium_like,WinsorZ,7,0.991418,0.1264315567337142,0.0093191514795536,0.0028271288825733
funding_like|liquidity_like,Identity,7,0.19634,0.2675961251631472,0.0663313707852068,0.0028762785840684
funding_like,SignedRankDelta,7,0.195961,0.668829086880902,0.2431429655752955,0.0035689965452146
funding_like|funding_like,AbsDelta,7,0.072829,0.6618246245389205,0.1529698775616909,0.0037384387463596
positioning_like|state_or_taxonomy,Identity,7,0.949763,0.6972837604782717,0.0202063012112202,0.003808501402749
funding_like|liquidity_like,WinsorZ,7,0.194343,0.3405884466219394,0.0363647843805111,0.0038484582102852
funding_like|price_like,Identity,7,0.196069,0.0080277956126905,0.00245919259655,0.0039852035409936
funding_like|volatility_like,Identity,7,0.195623,0.404469299218251,0.1374160876676205,0.0048489379377392
price_like|state_or_taxonomy,Identity,7,0.948462,0.0239505232949682,0.0081751940211876,0.0048525940137295
state_or_taxonomy|volatility_like,Identity,7,0.952862,0.0383525715043751,0.0139100530366136,0.0050560498562516
price_like|state_or_taxonomy,Delta,7,0.998458,0.0510153542918883,0.0408643598345624,0.0059263365103886
funding_like|funding_like,WinsorZ,7,0.112906,0.5164977707344617,0.0302924290712276,0.0062719613841784
basis_premium_like|liquidity_like,WinsorZ,7,0.997105,0.3220425919354341,0.0096055585286747,0.0065464276963671
funding_like|liquidity_like,AbsDelta,7,0.105468,0.5413879911705536,0.0351031359908251,0.0078241614050373
basis_premium_like|volatility_like,WinsorZ,7,0.951151,0.5609667731202387,0.0102081532100871,0.0078991722194903
funding_like|price_like,AbsDelta,7,0.112802,0.0370408329008425,0.0050947180852288,0.0100150409092624
basis_premium_like|price_like,WinsorZ,7,0.995267,0.0240391212194006,0.026411047377835,0.0103335311055576
funding_like,AbsDelta,7,0.112973,0.8436675646282273,0.3206738831304535,0.0139642294138766
volatility_like|volatility_like,Identity,7,0.952378,0.8249358796917818,0.2596068910464028,0.0141760880927004
basis_premium_like,SignedRankDelta,7,0.997922,0.73442357690477,0.0277503238217951,0.0162097534115117
basis_premium_like|positioning_like,SignedRankDelta,7,0.996876,0.7193635086543714,0.0167698716244162,0.0237350918123677
funding_like|positioning_like,SignedRankDelta,7,0.194401,0.6656663118118847,0.0143108648536465,0.0280031294154286
basis_premium_like,WinsorZ,7,0.997922,0.6777447201897621,0.017942218285299,0.0291223605487664
funding_like|positioning_like,CSRank,7,0.196463,0.6321029221738438,0.0175646072818167,0.0295361186543123
funding_like|funding_like,SignedRankDelta,7,0.113015,0.7938665398452646,0.1788224521852647,0.0302217762247787
positioning_like|positioning_like,CSRank,7,0.998304,0.7221427794555629,0.0217689167275578,0.0331833134806592
funding_like|state_or_taxonomy,CSRank,7,0.196522,0.0482615261890274,0.0021167012298654,0.0541958180948873
basis_premium_like|state_or_taxonomy,SignedRankDelta,7,0.992711,0.0241544129668613,0.0030273156239054,0.0582669544200433
positioning_like|state_or_taxonomy,CSRank,7,0.993802,0.021716373438595,0.0014348247470882,0.0661160097268454
basis_premium_like|basis_premium_like,SignedRankDelta,7,0.991418,0.1036243740716691,0.0057303875066263,0.0744906192100784
volatility_like,Delta,7,0.952373,0.9061483021770984,0.4449066828388769,0.1413070601075552
funding_like|liquidity_like,SignedRankDelta,7,0.194477,0.4126770922966948,0.1072489111798274,0.1749800803986612
funding_like|liquidity_like,CSRank,7,0.196501,0.3724525450576006,0.10714337086723,0.1814493822766494
basis_premium_like|liquidity_like,SignedRankDelta,7,0.997105,0.381368725852563,0.0986404247027571,0.2016434980493683
volatility_like|volatility_like,CSRank,7,0.952378,0.796328051686104,0.2739267429262216,0.2039209205621745
liquidity_like|positioning_like,CSRank,7,0.998179,0.3532640053037074,0.1267872403490788,0.2194440974418517
liquidity_like|volatility_like,CSRank,7,0.99875,0.3687552049272171,0.1283248875659961,0.2198341692923091
liquidity_like|price_like,CSRank,7,0.998463,0.4168399739393377,0.1429081358789227,0.2199212843342213
funding_like|volatility_like,CSRank,7,0.195778,0.6877963472409367,0.2443927179549571,0.2266385710323786
basis_premium_like|volatility_like,SignedRankDelta,7,0.951151,0.7433029822924478,0.2053146435125525,0.2296097255710459
liquidity_like|state_or_taxonomy,CSRank,7,0.955488,0.3647640166321499,0.1394048315421625,0.2380787509183041
funding_like|price_like,SignedRankDelta,7,0.195599,0.0181962645617128,0.0049702449973642,0.2673607709527668
positioning_like|volatility_like,CSRank,7,0.952094,0.7810750861282169,0.2687263491774489,0.2711209051898062
funding_like|price_like,CSRank,7,0.196229,0.0197730360227524,0.0068715022522453,0.2722152578927926
basis_premium_like|price_like,SignedRankDelta,7,0.995267,0.0192036647949106,0.0023426332013924,0.2820559218301255
price_like|price_like,CSRank,7,0.992342,0.0246019143659899,0.0076605376789024,0.2822267414396543
generic_numeric|volatility_like,CSRank,7,0.992068,0.6634999934155745,0.0305536258034173,0.296264111308515
price_like|volatility_like,CSRank,7,0.991893,0.7014463644976536,0.0278488256452809,0.2963241598388006
positioning_like|price_like,CSRank,7,0.996334,0.0205819263135994,0.0070603416638467,0.3246841909662804
price_like|state_or_taxonomy,CSRank,7,0.953851,0.0212548156639688,0.0064630994484428,0.344585142260528
liquidity_like|volatility_like,AbsDelta,6,0.990278,0.46039477431594533,0.14546259135115924,0.00027946487677560003
liquidity_like|price_like,AbsDelta,6,0.990445,0.5308228252685983,0.15305284275203296,0.0002986315844153
price_like|price_like,AbsDelta,6,0.9889205,0.0359918607102732,0.0103365286234835,0.0004079802226189
price_like|volatility_like,AbsDelta,6,0.985528,0.9083802916368564,0.0501235039832204,0.00066430574216115
generic_numeric|volatility_like,AbsDelta,6,0.9855160000000001,0.9162932317767889,0.043986810661900855,0.0006704989666513
funding_like|state_or_taxonomy,WinsorZ,6,0.193036,0.0365503443544944,0.0079072742614962,0.0013272749519463
funding_like|funding_like,Delta,6,0.41049250000000004,0.9849322581632796,0.269235402907922,0.0013334260722923002
positioning_like|state_or_taxonomy,WinsorZ,6,0.9952369999999999,0.023565364918846497,0.00602479743260095,0.0014080169813795
volatility_like,AbsDelta,6,0.9902975,0.9424547580741226,0.5626100817027598,0.0015379413387501002
positioning_like|price_like,WinsorZ,6,0.9955609999999999,0.01483682010485315,0.0073255368519027,0.001577946793139
price_like,AbsDelta,6,0.9921835,0.9318263018070303,0.5681841472245985,0.0017535203463128
positioning_like,WinsorZ,6,0.9977024999999999,0.8722187563061463,0.10236475284474769,0.00179747214201675
positioning_like,SignedRankDelta,6,0.9977024999999999,0.8410252006605876,0.0887989879706708,0.0022988404164104
liquidity_like|state_or_taxonomy,WinsorZ,6,0.18264750000000002,0.38028209433381194,0.12809716209478925,0.0027595666842524496
positioning_like|volatility_like,WinsorZ,6,0.9512575000000001,0.7584667999447625,0.02156082204862505,0.00341731636067035
funding_like|state_or_taxonomy,AbsDelta,6,0.107446,0.0688428868446916,0.0064442007418008,0.0034847848144001
state_or_taxonomy|volatility_like,WinsorZ,6,0.9517260000000001,0.0258767550713496,0.00512638552541245,0.0036892494843374
liquidity_like|positioning_like,WinsorZ,6,0.9976305000000001,0.384546154951606,0.037980436575515496,0.00391905378009845
funding_like|price_like,WinsorZ,6,0.1947715,0.01130237813357145,0.0087968223821155,0.004118529599117
basis_premium_like,SpreadShortLong,6,0.997126,0.9760127541410406,0.1280050068554178,0.0042439727475858495
price_like|state_or_taxonomy,WinsorZ,6,0.38908449999999994,0.0248832134501992,0.013933906378925252,0.0051669008608861006
funding_like|volatility_like,WinsorZ,6,0.192315,0.5591941798084159,0.06297868409954314,0.005376642238026299
liquidity_like|volatility_like,WinsorZ,6,0.9981880000000001,0.325607645724036,0.02203712029697675,0.006176460839523499
liquidity_like|price_like,WinsorZ,6,0.9979024999999999,0.3548183699031001,0.0191749693840848,0.006580631225630001
positioning_like|positioning_like,WinsorZ,6,0.9977024999999999,0.7740318447135945,0.2110949227048744,0.00714287313967865
price_like|volatility_like,WinsorZ,6,0.9902975,0.7296047335515482,0.5785330243826645,0.0072880893167813505
generic_numeric|volatility_like,WinsorZ,6,0.990585,0.724047269946944,0.5645617965888111,0.00786300517017645
funding_like|volatility_like,AbsDelta,6,0.1068355,0.7109852988549779,0.1846831473470806,0.00914502434494535
price_like|price_like,WinsorZ,6,0.9939804999999999,0.024772936109229447,0.027351398246007852,0.01034680899892185
funding_like|price_like,SpreadShortLong,6,0.009603,0.9859053941085594,0.5836492623344962,0.0112460500652156
funding_like,SpreadShortLong,6,0.282518,0.9884368594876796,0.2851608472692405,0.0139281137817061
price_like,SignedRankDelta,6,0.9987820000000001,0.8021004107158023,0.0313565993920095,0.0164914215986205
volatility_like,SignedRankDelta,6,0.9987820000000001,0.8265408450557754,0.0298781623861686,0.01671980428407015
state_or_taxonomy|volatility_like,AbsDelta,6,0.9517260000000001,0.0785465253606026,0.0079383426913331,0.02494542832246885
volatility_like,WinsorZ,6,0.9987820000000001,0.7782948240952863,0.024252172915797152,0.02942627732182765
price_like,WinsorZ,6,0.9987820000000001,0.7518337707040436,0.027446383054158696,0.02947190429818365
funding_like|positioning_like,SpreadShortLong,6,0.008905,0.9889568626756475,0.7294993336840031,0.02955841925758275
volatility_like|volatility_like,WinsorZ,6,0.951815,0.91413741599288,0.17198153840298264,0.0352648010309784
positioning_like|positioning_like,SignedRankDelta,6,0.9977024999999999,0.7377424026901953,0.04128913662198995,0.04045634165619755
positioning_like|state_or_taxonomy,AbsDelta,6,0.995216,0.0238371403424659,0.00787201347077355,0.047697543268719694
funding_like|state_or_taxonomy,SignedRankDelta,6,0.19320199999999998,0.045618731120405695,0.0014496708591569,0.05534440314006305
positioning_like|state_or_taxonomy,SignedRankDelta,6,0.9952369999999999,0.02332557385577265,0.00249837894828575,0.05866883971799645
state_or_taxonomy|volatility_like,SignedRankDelta,6,0.9517260000000001,0.02435095423261025,0.0025441529997698,0.0603629557460389
state_or_taxonomy|state_or_taxonomy,SignedRankDelta,6,0.9551035,0.025191603328525,0.0022573306312965,0.0686326064808066
positioning_like|positioning_like,AbsDelta,6,0.9976465,0.8821713777526017,0.11754348173469255,0.08163851938865149
funding_like|liquidity_like,SpreadShortLong,6,0.008905,0.9957710310034452,0.787089277667174,0.08248872150642565
basis_premium_like|funding_like,Delta,6,0.003293,0.04146392365202935,0.10165386306080984,0.11602026507982215
liquidity_like|positioning_like,AbsDelta,6,0.997571,0.4511265357600442,0.1168313514212326,0.1247492504403979
positioning_like,AbsDelta,6,0.9976465,0.866568201303081,0.3325481766576097,0.1338425390619161
volatility_like|volatility_like,AbsDelta,6,0.951815,0.9429726875378683,0.1156820789625162,0.1524044446524858
positioning_like|volatility_like,AbsDelta,6,0.9512054999999999,0.8034030708063511,0.15997403746300085,0.16143860368824045
positioning_like|price_like,AbsDelta,6,0.995506,0.01048564808088355,0.0031674172103778,0.1782201279711239
liquidity_like|positioning_like,SignedRankDelta,6,0.9976305000000001,0.3465223518638164,0.1061909279914901,0.18669159998293489
liquidity_like|volatility_like,SignedRankDelta,6,0.9981880000000001,0.374245102035882,0.11370737052628171,0.1904932739071547
liquidity_like|price_like,SignedRankDelta,6,0.9979024999999999,0.4235782662990591,0.12110719480760784,0.19881907565450074
liquidity_like|state_or_taxonomy,AbsDelta,6,0.182376,0.3793266301199525,0.0444959811972565,0.21314639590061873
funding_like|volatility_like,SignedRankDelta,6,0.1924775,0.7916551818605846,0.1981767417380373,0.2269634270735264
liquidity_like|state_or_taxonomy,SignedRankDelta,6,0.955191,0.3674950338018459,0.1351620800752025,0.2291822189231652
positioning_like|volatility_like,SignedRankDelta,6,0.9512575000000001,0.8165329020267929,0.18824040225663616,0.24464569956010546
volatility_like|volatility_like,SignedRankDelta,6,0.951815,0.8445218724364123,0.2264507392135518,0.27197496946011157
price_like|price_like,SignedRankDelta,6,0.9939804999999999,0.02292244913675035,0.0063302586619811505,0.28133981656570506
positioning_like|price_like,SignedRankDelta,6,0.9955609999999999,0.0249269474964991,0.005049526491740199,0.28581674271340507
price_like|state_or_taxonomy,AbsDelta,6,0.388478,0.01041978014899855,0.00528513590440535,0.31463078811279266
price_like|volatility_like,SignedRankDelta,6,0.9902975,0.7515002515478852,0.07506421102904334,0.33154359712499926
generic_numeric|volatility_like,SignedRankDelta,6,0.990585,0.7308719935872554,0.06988881400062424,0.3327277961443762
generic_numeric|positioning_like,Delta,5,0.997016,1.2790755939589032e-05,3.4119481409714003e-06,8.427157760978656e-07
positioning_like,Delta,5,0.997088,6.139945607754377e-06,1.722761021641849e-06,9.239067671153392e-07
generic_numeric|positioning_like,Identity,5,0.991784,0.0339645564011925,0.0006778117196684,0.0002040175548231
positioning_like,SpreadShortLong,5,0.996821,0.9895109251472942,0.1224973829527781,0.0002428338472649
basis_premium_like|state_or_taxonomy,Identity,5,0.996245,0.0062299651939,0.0057593362435857,0.0004731233859766
generic_numeric|price_like,AbsDelta,5,0.985834,0.9462191797607032,0.0472845642871891,0.0006704950333451
state_or_taxonomy|state_or_taxonomy,WinsorZ,5,0.264783,0.0262207297864372,0.0037562990614855,0.0011788815294573
state_or_taxonomy|state_or_taxonomy,Identity,5,0.949534,0.0232642069469555,0.0016858330288144,0.0015592193341366
generic_numeric|state_or_taxonomy,SignedRankDelta,5,0.95636,0.8833240432737947,0.2570956497064824,0.0015886908644137
state_or_taxonomy,SignedRankDelta,5,0.95636,0.8833240432737947,0.2570956497064824,0.0015886908644137
generic_numeric|positioning_like,WinsorZ,5,0.95403,0.9251877738824676,0.1668561966126861,0.001699080189427
generic_numeric|price_like,Identity,5,0.992068,0.8052743850506195,0.0324021791005625,0.001718020600948
basis_premium_like|price_like,SpreadShortLong,5,0.996823,0.982800919784796,0.6186261560167517,0.0019013968586746
price_like|price_like,Delta,5,0.951225,0.0147952206758997,0.01228051422055,0.0019959965320938
generic_numeric|positioning_like,SignedRankDelta,5,0.95403,0.9021167832782008,0.1483982517463991,0.0025541985323946
generic_numeric|state_or_taxonomy,Delta,5,0.013239,0.0945344954186579,0.1329136058886056,0.002640509979493
generic_numeric|volatility_like,SpreadShortLong,5,0.998352,0.9782446666301255,0.1449557144163496,0.003090698466631
price_like|volatility_like,SpreadShortLong,5,0.998352,0.9771220973260414,0.1456351680981072,0.0035596138008581
volatility_like,SpreadShortLong,5,0.99828,0.9766467613626456,0.1165562811484499,0.0040521069791418
price_like,SpreadShortLong,5,0.998255,0.9763399224023444,0.1272747655328491,0.0042712531566443
generic_numeric|state_or_taxonomy,SpreadShortLong,5,0.107043,0.9987917783339249,0.8259462430278185,0.0057094277683174
generic_numeric|price_like,WinsorZ,5,0.992068,0.7528903055252737,0.5547570249339553,0.0077161659115431
generic_numeric|positioning_like,CSRank,5,0.954345,0.9960171359829288,0.9482646218398956,0.0095199203818428
state_or_taxonomy|volatility_like,CSRank,5,0.952842,0.0196873943196896,0.0014643587321115,0.0655189868515793
state_or_taxonomy|state_or_taxonomy,CSRank,5,0.95453,0.021888020355857,0.0018662232806354,0.070344248063585
state_or_taxonomy|state_or_taxonomy,AbsDelta,5,0.264081,0.0236207441786258,0.0020587210789382,0.0715847888607554
state_or_taxonomy,Delta,5,0.997525,0.0383740065952919,0.001192815487577,0.0921563409706713
funding_like|generic_numeric,SpreadShortLong,5,0.001634,0.9832689111535732,0.5752602419134659,0.1118102056947061
funding_like|state_or_taxonomy,SpreadShortLong,5,0.008947,0.9858093290396148,0.7799722442104098,0.1133344130561424
generic_numeric|positioning_like,AbsDelta,5,0.954,0.9109818735735172,0.3585502909092295,0.1279326402661672
generic_numeric|price_like,CSRank,5,0.992068,0.8092646572086876,0.0331081505133214,0.3004976271584137
price_like,Delta,5,0.995618,0.0026531857334089,0.0146510496953775,0.331243254423308
generic_numeric|price_like,SignedRankDelta,5,0.992068,0.795048685718992,0.0727459177053408,0.3339274547901012
positioning_like|positioning_like,SpreadShortLong,4,0.9972175,0.994148386511682,0.33185606754248875,0.00041868470097774997
funding_like|generic_numeric,Delta,4,0.0070504999999999995,0.9761075875673351,0.7413362335384486,0.0008082836703374999
price_like|price_like,SpreadShortLong,4,0.997922,0.988567988018437,0.5883933833014696,0.0017544254425656998
basis_premium_like,CSRank,4,0.999222,0.4122307034421546,0.3189189819433004,0.0017632824460997
price_like|state_or_taxonomy,SpreadShortLong,4,0.950663,0.9741476313417525,0.557109327928105,0.0018542569244138002
basis_premium_like,Identity,4,0.999222,0.5266511462337664,0.2826601896793629,0.0026371271179834
generic_numeric|price_like,SpreadShortLong,4,0.998316,0.9883929872019408,0.406475692960695,0.0037295758482545002
volatility_like|volatility_like,SpreadShortLong,4,0.952132,0.9990650974444579,0.9205148533138618,0.01146567584291355
basis_premium_like|basis_premium_like,SpreadShortLong,4,0.99666,0.9977396597496031,0.8563622900749881,0.0128475257745842
positioning_like|price_like,SpreadShortLong,4,0.9967105,0.9757229942947884,0.5292415032807849,0.013711377236448451
funding_like|funding_like,SpreadShortLong,4,0.008811,0.9969877948600472,0.9065982932967873,0.06976971550795165
state_or_taxonomy,SpreadShortLong,4,0.3971985,0.9296183457574261,0.04682121740641515,0.07157101719518486
funding_like|volatility_like,SpreadShortLong,4,0.008839,0.9965663484179739,0.9223324952947446,0.1985335315898497
price_like|state_or_taxonomy,SignedRankDelta,4,0.9512065000000001,0.025730838951444,0.0072679669931774,0.3003249066404796
basis_premium_like|state_or_taxonomy,Delta,3,0.094716,0.9303506623486432,0.0477160729865211,7.632691396589336e-06
basis_premium_like|generic_numeric,Delta,3,0.004,0.9996987829107044,0.4107467335302479,0.000181038168356
generic_numeric|volatility_like,Delta,3,0.004434,0.9999808784105,0.1707598163975455,0.000947680837938
state_or_taxonomy|state_or_taxonomy,SpreadShortLong,3,0.949784,0.9897439242627292,0.6984381448921999,0.0022384610614569
positioning_like|state_or_taxonomy,SpreadShortLong,3,0.99726,0.9908140885630484,0.7176270344233528,0.004040474577421
basis_premium_like|state_or_taxonomy,SpreadShortLong,3,0.996358,0.9899237323753174,0.7047878869174095,0.0068100041760926
state_or_taxonomy|volatility_like,SpreadShortLong,3,0.952165,0.9901334867165774,0.6920004723000501,0.0069391056931226
funding_like|generic_numeric,CSRank,3,0.196606,0.4664966487058687,0.5386956083142641,0.0072314320266951
volatility_like,Identity,3,0.955213,0.9969816617203768,0.8791801012871054,0.0134634668348134
funding_like|generic_numeric,WinsorZ,2,0.17179149999999999,0.5293348986680636,0.00962430087070085,0.0009044793300654653
funding_like|generic_numeric,Identity,2,0.196472,0.4703012319588668,0.41390666831167877,0.0019345110165597998
funding_like|generic_numeric,SignedRankDelta,2,0.1719095,0.46644013073258184,0.010699176972957001,0.0029285560268405503
funding_like,CSRank,2,0.377239,0.7325831049570484,0.743937373120781,0.00410143557637935
price_like,CSRank,2,0.977499,0.48397107873534045,0.0212888353375806,0.00410565078767465
state_or_taxonomy,WinsorZ,2,0.6319985,0.511413574710575,0.4470085230276335,0.00423098643429545
positioning_like,CSRank,2,0.999101,0.5072380382580102,0.47560618923716297,0.00508337498272845
price_like,Identity,2,0.977482,0.48330308879318196,0.01490671840837065,0.00529108458802355
volatility_like,CSRank,2,0.955643,0.992450711605062,0.7893766829964903,0.00548137169182555
basis_premium_like|volatility_like,SpreadShortLong,2,0.9536395,0.9995547216369608,0.87275688505473,0.0066486743429896
funding_like|generic_numeric,AbsDelta,2,0.0898965,0.7057737289310488,0.2308497802901982,0.01109243948578565
basis_premium_like|liquidity_like,SpreadShortLong,2,0.9971734999999999,0.9992355086344997,0.9109504205115263,0.01395292211451165
liquidity_like|price_like,SpreadShortLong,2,0.9985664999999999,0.9992302028386684,0.9100346862295342,0.01407375401798725
liquidity_like|positioning_like,SpreadShortLong,1,0.997888,0.9988182621145992,0.8879447177895581,0.0005478744203257
funding_like,Identity,1,0.196566,0.4685797108806807,0.4136954091355803,0.0017971126445871
positioning_like,Identity,1,0.999101,0.0422219436622515,0.0287692072064667,0.002156232729981
state_or_taxonomy,CSRank,1,0.999279,0.0506132871307281,0.0175300330695984,0.0024562767000539
state_or_taxonomy,Identity,1,0.999279,0.0492641821466172,0.0161201828147895,0.0027196163128994
generic_numeric|state_or_taxonomy,WinsorZ,1,0.265038,0.998837246412195,0.8918474451166646,0.0058741894935449
positioning_like|volatility_like,SpreadShortLong,1,0.954048,0.9991174240559944,0.8263663231906626,0.0157380459232661
liquidity_like|state_or_taxonomy,SpreadShortLong,1,0.950945,0.9992048081244836,0.922063826784112,0.026991868414125
state_or_taxonomy,AbsDelta,1,0.998959,0.1811017069936,0.1484846936927021,0.0610378401732006
