company_numeric_shard,rows,arm_count,semantic_pair_count,motif_count,skeleton_count
a7ls3hr_s000,32,1,1,1,6
a7ls3hr_s001,32,1,1,2,9
a7ls3hr_s002,32,1,1,1,6
a7ls3hr_s003,32,1,1,1,7
a7ls3hr_s004,32,1,1,1,9
a7ls3hr_s005,32,1,1,2,10
a7ls3hr_s006,32,1,1,1,7
a7ls3hr_s007,32,1,1,2,11
a7ls3hr_s008,32,1,3,2,13
a7ls3hr_s009,32,1,4,2,11
a7ls3hr_s010,32,1,7,2,11
a7ls3hr_s011,32,1,7,2,6
a7ls3hr_s012,32,1,6,2,9
a7ls3hr_s013,32,1,8,2,7
a7ls3hr_s014,32,1,6,2,6
a7ls3hr_s015,32,1,6,2,6
a7ls3hr_s016,32,1,1,1,3
a7ls3hr_s017,32,1,1,1,2
a7ls3hr_s018,32,2,4,2,5
a7ls3hr_s019,32,1,2,2,7
a7ls3hr_s020,32,1,3,2,5
a7ls3hr_s021,32,1,2,2,8
a7ls3hr_s022,32,1,2,2,6
a7ls3hr_s023,32,1,3,2,8
a7ls3hr_s024,32,1,2,2,8
a7ls3hr_s025,32,1,2,2,10
a7ls3hr_s026,32,2,6,3,9
a7ls3hr_s027,32,1,7,2,11
a7ls3hr_s028,32,1,4,1,2
a7ls3hr_s029,32,2,5,2,8
a7ls3hr_s030,32,2,2,2,11
a7ls3hr_s031,32,2,2,2,12
