label_family,label_horizon_h,selected_count,priority_clean_count,median_control_ratio,median_cost10
L5_vol_adjusted_return,1,29,24,0.5805247732250088,0.0826111947416129
L5_vol_adjusted_return,8,15,11,0.6407648957507182,0.3568536390980303
L5_vol_adjusted_return,4,7,4,0.7468353191035642,0.2076067708955534
L7_ranked_future_return,4,9,0,0.7023298730482189,0.0293897456290088
L7_ranked_future_return,8,9,0,0.9383022980218616,0.0274613829067831
L7_ranked_future_return,1,7,0,0.8109805949207199,0.0196690566329822
L3_liquidity_tier_relative_return,1,3,0,0.6980384529383762,-0.0010009044204939
L1_cross_sectional_relative_return,4,2,0,0.9254473064274573,-0.00123065694943335
L1_cross_sectional_relative_return,1,1,0,0.7294314800983845,-0.0014536657013477
L5_vol_adjusted_return,24,1,0,0.9904536234223146,0.1448606531264873
