symbol,panel_rows,agg_rows,agg_coverage,timestamp_min,timestamp_max,agg_status
ADAUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
AVAXUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
BCHUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
BNBUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
BTCUSDT,20929,20904,0.9988054852119069,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_ready_core3
DOGEUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
ETHUSDT,20929,20904,0.9988054852119069,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_ready_core3
LINKUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
LTCUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
SOLUSDT,20929,20904,0.9988054852119069,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_ready_core3
SUIUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
XRPUSDT,20929,0,0.0,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00,agg_missing_for_symbol
