numeric_probe_id,family_id,max_oriented_ic,max_oriented_spread,min_control_ratio,clean_label_count,eval_rows
a7ffcore30_0134,F1b_taker_flow_market_panel,0.03983470683343872,0.12005537748336792,0.5731420776453197,9,252906
a7ffcore30_0019,F1a_aggtrades_flow_microstructure,0.03383724763482539,0.14345647394657135,0.39000270564541406,9,8886
a7ffcore30_0028,F1a_aggtrades_flow_microstructure,0.03303405872567347,0.0853605791926384,0.18179898978474562,9,8886
a7ffcore30_0031,F1a_aggtrades_flow_microstructure,0.032052281552940314,0.19238680601119995,0.22945209563038058,9,9030
a7ffcore30_0008,F1a_aggtrades_flow_microstructure,0.02248519442118259,0.03880482167005539,0.05484751890422611,9,9030
a7ffcore30_0011,F1a_aggtrades_flow_microstructure,0.022062135563196077,0.0671471431851387,0.06053040023103769,9,9030
a7ffcore30_0014,F1a_aggtrades_flow_microstructure,0.021779273428936385,0.1359652578830719,0.03847986892318503,9,9030
a7ffcore30_0051,F1a_aggtrades_flow_microstructure,0.020386682063054554,0.04943025857210159,0.18373998669921943,9,8886
a7ffcore30_0102,F1b_taker_flow_market_panel,0.01883964286320368,0.07657153159379959,0.2177741299161798,9,36812
a7ffcore30_0041,F1a_aggtrades_flow_microstructure,0.017238252495685783,0.06509025394916534,0.04898721658916806,9,8886
a7ffcore30_0163,F2a_basis_funding_independent,0.015887312276140483,0.02856648713350296,0.2956543846968728,9,49044
a7ffcore30_0095,F1b_taker_flow_market_panel,0.015053455088520415,0.07599856704473495,0.5017750695340993,9,48940
a7ffcore30_0222,F2a_basis_funding_independent,0.0133018193592024,0.08514653146266937,0.41790265180924835,9,48940
a7ffcore30_0068,F1a_aggtrades_flow_microstructure,0.013250096416006706,0.08431920409202576,0.20768173836534387,9,7428
a7ffcore30_0094,F1b_taker_flow_market_panel,0.012544148461259402,0.08740707486867905,0.27677846596583133,9,49044
a7ffcore30_0201,F2a_basis_funding_independent,0.012166413533549206,0.05784839391708374,0.40410784632830593,9,49044
a7ffcore30_0195,F2a_basis_funding_independent,0.012086151804392549,0.08772367238998413,0.39185601037577544,9,251782
a7ffcore30_0123,F1b_taker_flow_market_panel,0.012052887442402002,0.07009035348892212,0.7402684032261673,9,251782
