triage_status,semantic_pair,motif,label_family,count
promotion_ready_numeric_research_clue,basis_premium_like|basis_premium_like,sub,L5_vol_adjusted_return,3
promotion_ready_numeric_research_clue,basis_premium_like|basis_premium_like,mul,L5_vol_adjusted_return,2
promotion_ready_numeric_research_clue,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,2
promotion_ready_numeric_research_clue,basis_premium_like|volatility_like,safe_div_abs,L5_vol_adjusted_return,2
promotion_ready_numeric_research_clue,basis_premium_like,single,L5_vol_adjusted_return,1
promotion_ready_numeric_research_clue,basis_premium_like|basis_premium_like,safe_div_abs,L5_vol_adjusted_return,1
promotion_ready_numeric_research_clue,basis_premium_like|volatility_like,gated_sign,L5_vol_adjusted_return,1
promotion_ready_numeric_research_clue,basis_premium_like|volatility_like,smooth_mul,L5_vol_adjusted_return,1
promotion_ready_numeric_research_clue,price_like|volatility_like,gated_sign,L5_vol_adjusted_return,1
rank_label_diagnostic_only,basis_premium_like|price_like,spread_rank,L7_ranked_future_return,7
rank_label_diagnostic_only,price_like|volatility_like,smooth_mul,L7_ranked_future_return,6
rank_label_diagnostic_only,basis_premium_like|basis_premium_like,spread_rank,L7_ranked_future_return,5
rank_label_diagnostic_only,basis_premium_like|price_like,smooth_mul,L7_ranked_future_return,5
rank_label_diagnostic_only,basis_premium_like|volatility_like,spread_rank,L7_ranked_future_return,5
rank_label_diagnostic_only,basis_premium_like|basis_premium_like,smooth_mul,L7_ranked_future_return,3
rank_label_diagnostic_only,basis_premium_like|volatility_like,smooth_mul,L7_ranked_future_return,3
rank_label_diagnostic_only,price_like,single,L7_ranked_future_return,3
rank_label_diagnostic_only,volatility_like|volatility_like,smooth_mul,L7_ranked_future_return,2
rank_label_diagnostic_only,basis_premium_like|price_like,gated_sign,L7_ranked_future_return,1
rank_label_diagnostic_only,basis_premium_like|price_like,mul,L7_ranked_future_return,1
rank_label_diagnostic_only,basis_premium_like|volatility_like,gated_sign,L7_ranked_future_return,1
rank_label_diagnostic_only,basis_premium_like|volatility_like,mul,L7_ranked_future_return,1
rank_label_diagnostic_only,volatility_like,single,L7_ranked_future_return,1
rank_label_diagnostic_only,volatility_like|volatility_like,gated_sign,L7_ranked_future_return,1
rank_label_diagnostic_only,volatility_like|volatility_like,mul,L7_ranked_future_return,1
watchlist_control_margin_thin,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,2
watchlist_control_margin_thin,basis_premium_like|basis_premium_like,gated_sign,L5_vol_adjusted_return,1
watchlist_control_margin_thin,basis_premium_like|basis_premium_like,safe_div_abs,L5_vol_adjusted_return,1
watchlist_control_margin_thin,basis_premium_like|price_like,mul,L5_vol_adjusted_return,1
watchlist_control_margin_thin,basis_premium_like|price_like,sub,L5_vol_adjusted_return,1
watchlist_control_margin_thin,price_like|volatility_like,gated_sign,L5_vol_adjusted_return,1
watchlist_control_margin_thin,price_like|volatility_like,mul,L5_vol_adjusted_return,1
watchlist_robustness_thin,basis_premium_like|basis_premium_like,spread_rank,L5_vol_adjusted_return,1
watchlist_robustness_thin,basis_premium_like|price_like,safe_div_abs,L5_vol_adjusted_return,1
watchlist_robustness_thin,price_like,single,L5_vol_adjusted_return,1
