family_id,motif,sample_count
D0_basis_premium_reference,gated_sign,2
D0_basis_premium_reference,mean_reversion_gate,2
D0_basis_premium_reference,mul,2
D0_basis_premium_reference,relative_shock,2
D0_basis_premium_reference,safe_div_clip,2
D0_basis_premium_reference,signed_spread,2
D0_basis_premium_reference,smooth_mul,2
D0_basis_premium_reference,spread_rank,2
D0_basis_premium_reference,sub,2
D0_basis_premium_reference,zspread,2
D1_open_interest_positioning,gated_sign,2
D1_open_interest_positioning,mean_reversion_gate,2
D1_open_interest_positioning,mul,2
D1_open_interest_positioning,relative_shock,2
D1_open_interest_positioning,safe_div_clip,2
D1_open_interest_positioning,signed_spread,2
D1_open_interest_positioning,smooth_mul,2
D1_open_interest_positioning,spread_rank,2
D1_open_interest_positioning,sub,2
D1_open_interest_positioning,zspread,2
D2_taker_flow_leverage,gated_sign,2
D2_taker_flow_leverage,mean_reversion_gate,2
D2_taker_flow_leverage,mul,2
D2_taker_flow_leverage,relative_shock,2
D2_taker_flow_leverage,safe_div_clip,2
D2_taker_flow_leverage,signed_spread,2
D2_taker_flow_leverage,smooth_mul,2
D2_taker_flow_leverage,spread_rank,2
D2_taker_flow_leverage,sub,2
D2_taker_flow_leverage,zspread,2
D3_liquidity_volatility_state,gated_sign,2
D3_liquidity_volatility_state,mean_reversion_gate,2
D3_liquidity_volatility_state,mul,2
D3_liquidity_volatility_state,relative_shock,2
D3_liquidity_volatility_state,safe_div_clip,2
D3_liquidity_volatility_state,signed_spread,2
D3_liquidity_volatility_state,smooth_mul,2
D3_liquidity_volatility_state,spread_rank,2
D3_liquidity_volatility_state,sub,2
D3_liquidity_volatility_state,zspread,2
D4_regime_relative_value,gated_sign,2
D4_regime_relative_value,mean_reversion_gate,2
D4_regime_relative_value,mul,2
D4_regime_relative_value,relative_shock,2
D4_regime_relative_value,safe_div_clip,2
D4_regime_relative_value,signed_spread,2
D4_regime_relative_value,smooth_mul,2
D4_regime_relative_value,spread_rank,2
D4_regime_relative_value,sub,2
D4_regime_relative_value,zspread,2
D5_funding_dense_state,gated_sign,2
D5_funding_dense_state,mean_reversion_gate,2
D5_funding_dense_state,mul,2
D5_funding_dense_state,relative_shock,2
D5_funding_dense_state,safe_div_clip,2
D5_funding_dense_state,signed_spread,2
D5_funding_dense_state,smooth_mul,2
D5_funding_dense_state,spread_rank,2
D5_funding_dense_state,sub,2
D5_funding_dense_state,zspread,2
D6_listing_latent_lifecycle,gated_sign,2
D6_listing_latent_lifecycle,mean_reversion_gate,2
D6_listing_latent_lifecycle,mul,2
D6_listing_latent_lifecycle,relative_shock,2
D6_listing_latent_lifecycle,safe_div_clip,2
D6_listing_latent_lifecycle,signed_spread,2
D6_listing_latent_lifecycle,smooth_mul,2
D6_listing_latent_lifecycle,spread_rank,2
D6_listing_latent_lifecycle,sub,2
D6_listing_latent_lifecycle,zspread,2
