candidate_id,group,benchmark_symbol,n_dates,corr,beta
a7al2k_01759e5da72c472c,pre_may_oos,BTCUSDT,11568,0.1577871755331711,0.1017526399294188
a7al2k_01759e5da72c472c,pre_may_oos,ETHUSDT,11568,0.17874947541211444,0.07020972143860384
a7al2k_01759e5da72c472c,known_may2026_stress,BTCUSDT,576,0.14787886538725617,0.15441610402797742
a7al2k_01759e5da72c472c,known_may2026_stress,ETHUSDT,576,0.12145126698640206,0.10181297743332121
a7al2k_0cf817ef95787b3d,pre_may_oos,BTCUSDT,11568,0.0496211229680357,0.03427340720536987
a7al2k_0cf817ef95787b3d,pre_may_oos,ETHUSDT,11568,0.003549282379935593,0.0014931716512931801
a7al2k_0cf817ef95787b3d,known_may2026_stress,BTCUSDT,576,0.04847834235130685,0.04474437460917849
a7al2k_0cf817ef95787b3d,known_may2026_stress,ETHUSDT,576,0.051025838433504146,0.037809021500483785
a7al2k_134ec76b5d7444f9,pre_may_oos,BTCUSDT,11568,-0.2378796807726174,-0.1555021904515957
a7al2k_134ec76b5d7444f9,pre_may_oos,ETHUSDT,11568,-0.2808223806200023,-0.11181224597053147
a7al2k_134ec76b5d7444f9,known_may2026_stress,BTCUSDT,576,-0.166337839606924,-0.12083987116202885
a7al2k_134ec76b5d7444f9,known_may2026_stress,ETHUSDT,576,-0.14828246217485289,-0.08648157553309352
a7al2k_01298a6b5902f416,pre_may_oos,BTCUSDT,11568,0.1545675230469587,0.08596335647872655
a7al2k_01298a6b5902f416,pre_may_oos,ETHUSDT,11568,0.07853909412450115,0.02660476917610721
a7al2k_01298a6b5902f416,known_may2026_stress,BTCUSDT,576,0.3825409491694626,0.22413352522343788
a7al2k_01298a6b5902f416,known_may2026_stress,ETHUSDT,576,0.3905403039979657,0.18370008534915838
