candidate_id,objective_family,expression,state_field,materialized_field,requested_label,actual_values,label_valid
a7al2x3_6425856b9df4b997,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,168)),StateMask(is_major,True))",is_major,is_major,True,False|True,True
a7al2x3_f726e8031e11a5c6,F6_OI_latent_state_interaction,"Mul(Sign(Delta(open_interest_last,168)),StateMask(is_major,False))",is_major,is_major,False,False|True,True
a7al2x3_67d3a9b6da05c211,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,168)),StateMask(liquidity_tier,top100))",liquidity_tier,liquidity_tier,top100,tail|top100|top20|top200|top50,True
a7al2x3_3cb1db3cafe85fa0,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,24)),StateMask(is_major,True))",is_major,is_major,True,False|True,True
a7al2x3_0e3c1c804bf9bd55,F6_OI_latent_state_interaction,"Mul(Sign(Delta(open_interest_last,24)),StateMask(is_major,False))",is_major,is_major,False,False|True,True
a7al2x3_aaa82dfd8a7c3555,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,336)),StateMask(is_major,True))",is_major,is_major,True,False|True,True
a7al2x3_1de261dd444f4839,F6_OI_latent_state_interaction,"Mul(Sign(Delta(open_interest_last,336)),StateMask(is_major,False))",is_major,is_major,False,False|True,True
a7al2x3_c73e0ebc3866e01e,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,48)),StateMask(is_major,True))",is_major,is_major,True,False|True,True
a7al2x3_8ad54ecbc6252391,F6_OI_latent_state_interaction,"Mul(Sign(Delta(open_interest_last,48)),StateMask(is_major,False))",is_major,is_major,False,False|True,True
a7al2x3_42246afae2fc6cd4,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,72)),StateMask(is_major,True))",is_major,is_major,True,False|True,True
a7al2x3_8b719d26496ba50d,F6_OI_latent_state_interaction,"Mul(Sign(Delta(open_interest_last,72)),StateMask(is_major,False))",is_major,is_major,False,False|True,True
a7al2x3_153675f49d4aaa01,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,96)),StateMask(is_major,True))",is_major,is_major,True,False|True,True
a7al2x3_f6b31033394d4417,F6_OI_latent_state_interaction,"Mul(Sign(Delta(open_interest_last,96)),StateMask(is_major,False))",is_major,is_major,False,False|True,True
a7al2x3_4b818a882dd9f93a,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,24)),StateMask(liquidity_tier,top100))",liquidity_tier,liquidity_tier,top100,tail|top100|top20|top200|top50,True
a7al2x3_58e9d974d2ff93d9,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,336)),StateMask(liquidity_tier,top200))",liquidity_tier,liquidity_tier,top200,tail|top100|top20|top200|top50,True
a7al2x3_1d7d8741b269a7ec,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,48)),StateMask(liquidity_tier,tail))",liquidity_tier,liquidity_tier,tail,tail|top100|top20|top200|top50,True
a7al2x3_37973669b65c3689,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,72)),StateMask(liquidity_tier,top100))",liquidity_tier,liquidity_tier,top100,tail|top100|top20|top200|top50,True
a7al2x3_23a7d0c66386da1b,F6_OI_latent_state_interaction,"Mul(Rank(Delta(open_interest_last,96)),StateMask(liquidity_tier,top20))",liquidity_tier,liquidity_tier,top20,tail|top100|top20|top200|top50,True
