candidate_id,semantic_bucket,motif_bucket,replay_rows,positive_validation_recent_cost5,median_spread,median_cost_adjusted_spread,max_tstat,min_control_ratio
a7ffcore5_9e4293913b29d39f8d,liquidity_like,single,12,1,-7.758280401915184e-05,-0.0007775828040191519,3.039172680437813,0.09351746035596724
a7ffcore5_89d456568ed9db84c6,liquidity_like|volatility_like,liquidity_shock,12,1,0.0010875391883112438,0.00012697880945078586,2.871152609177763,0.4634529934904429
a7ffcore5_d495bcdff277541a9d,open_interest_like,single,12,1,-0.0001686206457864513,-0.0005222289814282435,2.7363886689183126,0.3753038929887415
a7ffcore5_f8f5a7d388d98ddbee,liquidity_like,single,12,1,0.0002430870801226683,-0.0007668849314165225,2.6958981791997556,0.4304377754031036
a7ffcore5_e49456a170f19eb240,liquidity_like|volatility_like,liquidity_shock,12,1,0.000672355818570009,-0.00019227513293321315,2.642090762570441,0.3959936427637847
a7ffcore5_056264aa1859f3ac7b,liquidity_like|volatility_like,liquidity_shock,12,1,0.0009028232064784091,-5.583213389826137e-05,2.611251422677552,0.48128093687426843
a7ffcore5_f12228440913b31bb1,liquidity_like|volatility_like,liquidity_shock,12,1,0.0009286723992303239,8.103199471973784e-05,2.569098172384391,0.33746330260260693
a7ffcore5_11903004dcea88bab8,liquidity_like|volatility_like,liquidity_shock,12,1,0.0006365998076773306,-0.00024133804543296052,2.5551740646771024,0.40635719182609265
a7ffcore5_20349c393fc8912b86,taker_flow_like,single,12,1,0.00014923564370804472,-0.0008794442581632915,2.408124542671294,0.2753082589305717
a7ffcore5_b9beb4fd43cf7914e2,taker_flow_like|basis_premium_like,gated_sign,12,1,0.00010999549118856728,-0.0003885937772346513,2.3819329985571738,0.7522188154673038
a7ffcore5_b594b57d1ee90136c4,volatility_like,single,12,1,0.001491781441447933,0.0007604209518316189,2.330482701077271,0.43083474273956
a7ffcore5_1f8c481e4c787863b8,liquidity_like|volatility_like,safe_div_abs,12,1,0.0005994144269483589,-2.523098391238874e-05,2.3067842648242984,0.1645002253834068
