semantic_bucket,motif_bucket,candidate_count,clean_candidate_count,median_cost_adjusted_spread,median_control_ratio
liquidity_like|volatility_like,liquidity_shock,12,9,-0.0002097083927825663,1.1745066848845362
taker_flow_like|open_interest_like,flow_x_leverage,24,4,-0.0006981230697317646,2.285330819909273
taker_flow_like,single,15,3,-0.0009590319261366446,3.306056941674647
open_interest_like,single,5,3,0.0004586331617452122,0.4245969730218624
liquidity_like,single,6,2,-0.0009400306810294049,1.1975915371147101
open_interest_like|positioning_like,delta_x_divergence,2,2,0.02326583147040984,6.521000182006152
volatility_like,single,2,2,0.0009597934743929564,0.925086551278512
liquidity_like|volatility_like,safe_div_abs,12,1,-0.000988543067244056,2.088244479013686
taker_flow_like|basis_premium_like,gated_sign,7,1,-0.0009165879416367943,1.9389580373844382
open_interest_like|price_like,mean_reversion_gate,24,0,-0.0006232597447511896,3.5557839673571756
open_interest_like,delta_x_divergence,3,0,0.0025272687525707853,4.492505204737729
liquidity_like,liquidity_shock,2,0,-0.0016948295586893464,3.880749513069521
