field_name,old_semantic_type_v3,new_semantic_type_v3,old_seed_route,new_seed_route,semantic_repair_reason,route_repair_reason
open_interest_last,positioning_like,open_interest_like,modifier_only_seed,exploratory_signal_seed,split_open_interest_from_positioning,promote_from_modifier_to_exploratory_signal_seed
open_interest_mean,positioning_like,open_interest_like,modifier_only_seed,exploratory_signal_seed,split_open_interest_from_positioning,promote_from_modifier_to_exploratory_signal_seed
open_interest_value_last,positioning_like,open_interest_like,modifier_only_seed,exploratory_signal_seed,split_open_interest_from_positioning,promote_from_modifier_to_exploratory_signal_seed
open_interest_value_mean,positioning_like,open_interest_like,modifier_only_seed,exploratory_signal_seed,split_open_interest_from_positioning,promote_from_modifier_to_exploratory_signal_seed
taker_buy_quote_volume,liquidity_like,taker_flow_like,modifier_only_seed,exploratory_signal_seed,split_taker_flow_from_positioning_or_liquidity,promote_from_modifier_to_exploratory_signal_seed
taker_buy_sell_volume_ratio_last,positioning_like,taker_flow_like,modifier_only_seed,exploratory_signal_seed,split_taker_flow_from_positioning_or_liquidity,promote_from_modifier_to_exploratory_signal_seed
taker_buy_sell_volume_ratio_mean,positioning_like,taker_flow_like,modifier_only_seed,exploratory_signal_seed,split_taker_flow_from_positioning_or_liquidity,promote_from_modifier_to_exploratory_signal_seed
trade_count,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
trade_quote_volume,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
trade_volume,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
age_x_liquidity,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
liquidity_rank_active_universe,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
log_quote_volume_168h,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
median_quote_volume_168h,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
open_interest_change_24h,positioning_like,open_interest_like,modifier_only_seed,exploratory_signal_seed,split_open_interest_from_positioning,promote_from_modifier_to_exploratory_signal_seed
taker_buy_volume,liquidity_like,taker_flow_like,modifier_only_seed,exploratory_signal_seed,split_taker_flow_from_positioning_or_liquidity,promote_from_modifier_to_exploratory_signal_seed
trade_count_168h,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
volume_volatility_ratio_168h,liquidity_like,liquidity_like,modifier_only_seed,exploratory_signal_seed,keep_liquidity_activity,promote_liquidity_from_modifier_to_exploratory_signal_seed
