semantic_type_v3,a7ff23r_seed_route,field_count
basis_premium_like,exploratory_signal_seed,1
basis_premium_like,modifier_only_seed,18
basis_premium_like,primary_signal_seed,1
funding_like,modifier_only_seed,6
generic_numeric,modifier_only_seed,9
liquidity_like,modifier_only_seed,11
positioning_like,modifier_only_seed,15
price_like,exploratory_signal_seed,1
price_like,modifier_only_seed,2
state_or_taxonomy,modifier_only_seed,8
volatility_like,exploratory_signal_seed,2
volatility_like,modifier_only_seed,4
