label_family,cost_bps,candidate_count,median_cost_adjusted_spread,median_control_ratio,median_lag_spread,clean_candidate_count
L0_raw_forward_return,2,31,0.00022791055635,0.6974625475030997,0.0001926553175857,1
L1_cross_sectional_relative_return,2,31,0.00022791055635,0.6974625475030999,0.0001926553175857,1
L5_vol_adjusted_return,20,10,0.0366233853895307,0.6984727557070995,0.0002131541099413,1
L5_vol_adjusted_return,10,10,0.0386233853895307,0.6984727557070995,0.0002131541099413,1
L5_vol_adjusted_return,2,10,0.0402233853895307,0.6984727557070995,0.0002131541099413,1
L5_vol_adjusted_return,5,10,0.0396233853895307,0.6984727557070995,0.0002131541099413,1
L3_liquidity_tier_relative_return,5,24,-0.0002823813784846,0.7065979877956634,0.0001739290758831,1
L3_liquidity_tier_relative_return,2,24,0.0003176186215152,0.7065979877956634,0.0001739290758831,1
L1_cross_sectional_relative_return,20,31,-0.0033720894436499,0.6974625475030999,0.0001926553175857,0
L1_cross_sectional_relative_return,10,31,-0.0013720894436499,0.6974625475030999,0.0001926553175857,0
L1_cross_sectional_relative_return,5,31,-0.0003720894436499,0.6974625475030999,0.0001926553175857,0
L0_raw_forward_return,20,31,-0.0033720894436499,0.6974625475030997,0.0001926553175857,0
L0_raw_forward_return,5,31,-0.0003720894436499,0.6974625475030997,0.0001926553175857,0
L0_raw_forward_return,10,31,-0.0013720894436499,0.6974625475030997,0.0001926553175857,0
L3_liquidity_tier_relative_return,20,24,-0.0032823813784846,0.7065979877956634,0.0001739290758831,0
L3_liquidity_tier_relative_return,10,24,-0.0012823813784846,0.7065979877956634,0.0001739290758831,0
